player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
AJ Strauss,Batter,3729,78.80388842,4732,0,3,6,518,518,0,295,223,7,England,
RR Sarwan,Batter,3717,72.27299242,5143,16,393,383,427,427,0,165,262,6,West Indies,232.3125
JM Bairstow,Batter,3671,99.70124932,3682,0,0,0,516,516,0,294,222,11,England,
LD Chandimal,Batter,3657,72.10173502,5072,0,0,0,508,508,0,236,272,6,Sri Lanka,
GJ Maxwell,Batter,3655,120.5872649,3031,78,3441,3812,544,544,0,381,163,11,Australia,46.85897436
R Dravid,Batter,3650,71.10851354,5133,0,0,0,573,573,0,356,217,5,India,
MM Lanning,Batter,3555,89.20953576,3985,1,44,45,527,527,0,367,160,11,Australia,3555
S Mandhana,Batter,3526,87.99600699,4007,1,36,24,578,578,0,359,219,11,India,3526
Fakhar Zaman,Batter,3434,92.28701962,3721,1,112,135,461,461,0,222,239,9,Pakistan,3434
EA Perry,Batter,3356,78.22843823,4290,83,2352,3198,533,533,0,372,161,16,Australia,40.43373494
PR Stirling,Batter,3338,85.3490156,3911,26,1227,1485,164,164,0,60,104,7,Ireland,128.3846154
E Chigumbura,Batter,3266,77.11924439,4235,88,3551,3753,277,277,0,66,211,6,Zimbabwe,37.11363636
SW Bates,Batter,3245,75.85320243,4278,25,1098,1326,433,433,0,225,208,6,New Zealand,129.8
AN Cook,Batter,3204,75.60169891,4238,0,0,0,517,517,0,295,222,7,England,
HDRL Thirimanne,Batter,3164,71.19711971,4444,3,94,107,506,506,0,236,270,2,Sri Lanka,1054.666667
HC Knight,Batter,3158,75.10107015,4205,48,1020,1392,507,507,0,291,216,8,England,65.79166667
MDKJ Perera,Batter,3077,91.17037037,3375,0,0,0,512,512,0,237,275,5,Sri Lanka,
Umar Akmal,Batter,3032,83.61831219,3626,0,0,0,467,467,0,226,241,6,Pakistan,
GJ Bailey,Batter,3011,81.99891068,3672,0,0,0,544,544,0,381,163,4,Australia,
DM Bravo,Batter,3007,67.19553073,4475,0,0,0,427,427,0,165,262,3,West Indies,
BJ Haddin,Batter,3003,82.31907895,3648,0,0,0,545,545,0,381,164,3,Australia,
M Raj,Batter,2949,68.26388889,4320,0,0,0,564,564,0,349,215,6,India,
AM Rahane,Batter,2906,76.23294858,3812,0,0,0,571,571,0,354,217,5,India,
AE Satterthwaite,Batter,2895,80.01658375,3618,29,839,1060,433,433,0,225,208,5,New Zealand,99.82758621
Imam-ul-Haq,Batter,2840,81.32875143,3492,0,0,0,451,451,0,220,231,3,Pakistan,
T Taibu,Batter,2837,66.95775313,4237,0,20,25,275,275,0,66,209,3,Zimbabwe,
IJL Trott,Batter,2819,75.53590568,3732,3,174,185,505,505,0,289,216,3,England,939.6666667
SFM Devine,Batter,2796,87.53913588,3194,55,1914,2489,433,433,0,225,208,8,New Zealand,50.83636364
Mohammad Yousuf,Batter,2783,74.39187383,3741,1,0,1,458,458,0,221,237,2,Pakistan,2783
CR Ervine,Batter,2770,76.2875241,3631,0,0,0,277,277,0,66,211,6,Zimbabwe,
MR Marsh,Batter,2762,93.53200135,2953,57,2047,2257,543,543,0,381,162,8,Australia,48.45614035
KL Rahul,Batter,2761,86.36221458,3197,0,0,0,580,580,0,360,220,4,India,
DJ Bravo,Batter,2760,78.72219053,3506,193,5330,6052,427,427,0,165,262,9,West Indies,14.30051813
AC Jayangani,Batter,2760,77.98813224,3539,34,1295,1421,497,497,0,231,266,8,Sri Lanka,81.17647059
AJ Healy,Batter,2759,95.2364515,2897,0,0,0,533,533,0,372,161,8,Australia,
Kamran Akmal,Batter,2746,81.38707765,3374,0,0,0,469,469,0,227,242,4,Pakistan,
RS Bopara,Batter,2689,76.39204545,3520,41,1546,1858,509,509,0,291,218,5,England,65.58536585
WTS Porterfield,Batter,2670,67.39020697,3962,0,0,0,164,164,0,60,104,5,Ireland,
TM Head,Batter,2645,102.202473,2588,25,1062,1117,543,543,0,381,162,7,Australia,105.8
SE Marsh,Batter,2622,79.02350814,3318,0,0,0,545,545,0,381,164,4,Australia,
MV Boucher,Batter,2617,88.38230328,2961,0,0,0,466,466,0,286,180,2,South Africa,
KA Pollard,Batter,2608,90.64998262,2877,59,2086,2226,429,429,0,165,264,4,West Indies,44.20338983
Ahmed Shehzad,Batter,2555,70.52166713,3623,2,140,116,466,466,0,225,241,6,Pakistan,1277.5
L Lee,Batter,2516,82.6544021,3044,2,56,86,471,471,0,290,181,6,South Africa,1258
A Balbirnie,Batter,2438,74.21613394,3285,1,31,24,163,163,0,59,104,4,Ireland,2438
BL Mooney,Batter,2433,84.71448468,2872,0,0,0,533,533,0,372,161,4,Australia,
SC Ganguly,Batter,2409,70.25371829,3429,22,864,1015,573,573,0,356,217,5,India,109.5
SS Iyer,Batter,2396,98.03600655,2444,0,39,39,576,576,0,357,219,4,India,
HE van der Dussen,Batter,2388,85.10334996,2806,1,3,6,472,472,0,291,181,3,South Africa,2388
AD Hales,Batter,2330,93.83809907,2483,0,0,0,515,515,0,294,221,5,England,
Shubman Gill,Batter,2328,99.0216929,2351,0,25,18,560,560,0,347,213,4,India,
Abdul Razzaq,Batter,2327,86.53774637,2689,110,3694,4518,464,464,0,224,240,9,Pakistan,21.15454545
HK Matthews,Batter,2327,75.16149871,3096,83,2210,3025,428,428,0,165,263,10,West Indies,28.03614458
