player_name,total_matches_played,total_runs,Strike_Rate,player_of_match_awards
JM Fields,495,215,64.56,0
DJM Short,531,211,77.01,0
Khurram Manzoor,469,206,63.78,0
Khushdil Shah,346,200,93.46,1
Z Crawley,328,199,95.67,0
Saleem Elahi,426,199,64.82,0
MW Short,526,195,98.98,0
Kuldeep Yadav,580,195,47.45,5
Mohammad Nawaz (3),462,193,87.33,0
PJ Ingram,373,193,80.75,0
AJ Turner,413,192,116.36,1
H Karunaratne,482,190,45.24,0
PP Shaw,541,189,108.62,1
RD Rickelton,424,188,88.26,1
CJ Jordan,492,184,84.4,2
S Rana,556,184,81.42,0
Sohag Gazi,342,182,87.92,2
ND McKenzie,438,182,70.0,0
Q Joseph,428,179,70.2,0
DM Richards,401,179,68.85,0
I Ranaweera,497,179,38.25,0
IC Gaze,428,176,59.66,0
NW Bracken,545,174,65.66,3
G Voll,359,173,105.49,0
Mohammad Nawaz,461,173,79.0,2
Najiha Alvi,434,170,62.73,0
Lata Mondal,301,170,48.71,0
AM Peterson,433,167,79.15,1
JG Bethell,495,167,78.77,0
AR Adams,394,165,107.14,2
MJ Lumb,470,165,80.1,0
KS Lokuarachchi,496,164,75.58,0
D Bishoo,425,164,61.89,0
L Klusener,423,163,104.49,1
Shan Masood,461,163,67.36,0
Y Venugopal Rao,498,161,62.65,0
SJ McGlashan,402,160,68.38,0
Imran Tahir,469,157,67.38,4
Nasum Ahmed,327,156,87.64,1
CMW Read,497,156,70.59,0
SRH Curtis,351,156,66.67,0
A Rawat,396,153,81.38,1
MDK Perera,498,152,73.43,0
D Ganga,323,152,50.33,0
BOP Fernando,448,148,62.18,0
LM Kasperek,433,148,53.62,1
Khalid Latif,417,147,63.09,0
Shorna Akter,333,147,60.0,0
BYA Mendis,464,147,58.33,0
JA Burns,535,146,77.25,0
ID Blackwell,503,146,68.54,0
K Zondo,469,146,62.13,0
NC Dodd,351,145,48.49,1
D Devnarain,403,145,48.01,0
CO Browne,424,144,84.21,0
S Jafta,449,144,51.8,0
MB Loye,399,142,74.74,0
RD Jacobs,368,142,63.11,0
KNA Bandara,465,141,64.98,0
SF Daley,428,141,58.75,0
TS Hasabnis,490,140,76.09,0
M Bhanuka,478,140,70.35,0
KA Hope,402,138,68.66,0
T Bhatia,503,138,67.32,0
D Gough,518,137,69.19,1
Marina Iqbal,416,137,43.91,0
NJ Carey,491,136,93.79,0
HK Badani,534,135,77.14,0
S Verma,435,135,62.21,0
RP Singh,542,135,44.41,2
T Banton,426,134,92.41,0
AM Hardie,510,134,84.28,0
PA Browne,408,134,73.22,0
Faisal Iqbal,422,134,51.54,0
JL Smith,487,133,90.48,0
CR Seneviratna,464,133,48.01,0
KH Pandya,572,130,99.24,0
HDPK Dharmasena,360,129,83.23,0
B Sai Sudharsan,580,127,88.19,0
N Hussain,457,127,64.14,0
Azhar Mahmood,453,126,76.83,0
SACA King,386,126,54.08,0
KDU Prabodhani,497,126,35.69,0
FL Mackay,384,125,63.78,0
RS Kaluwitharana,348,124,68.89,0
PA Jaques,522,123,72.35,0
JP Maher,540,122,65.24,0
Mahedi Hasan,327,122,62.56,0
AL Hodgkinson,322,121,71.6,0
K Weeraratne,463,120,86.33,0
