player_name,Total_Balls_Faced,Total_Runs,Runs_Per_Ball
SF Mire,944,729,0.7722457627118644
CA Ingram,935,761,0.813903743315508
Pargat Singh,930,722,0.7763440860215054
JN Mohammed,929,621,0.6684607104413348
K Doriga,927,520,0.5609492988133765
L Louwrens,918,535,0.5827886710239651
H Thaker,916,612,0.6681222707423581
TT Samaraweera,914,669,0.7319474835886215
Ishan Kishan,890,886,0.9955056179775281
Towhid Hridoy,888,759,0.8547297297297297
PA Patel,884,693,0.7839366515837104
GO Jones,883,715,0.8097395243488109
N Deonarine,873,546,0.6254295532646048
ZE Green,872,686,0.786697247706422
Kushal Malla,870,756,0.8689655172413793
Sompal Kami,866,621,0.7170900692840647
BJ Watling,860,573,0.6662790697674419
Imad Wasim,860,937,1.0895348837209302
SR Mukkamalla,858,711,0.8286713286713286
L Tucker,856,657,0.7675233644859814
MA Ouma,855,468,0.5473684210526316
RR Pant,846,871,1.029550827423168
WPUJC Vaas,845,569,0.6733727810650888
KT Perkins,838,618,0.7374701670644391
LJ Wright,838,707,0.8436754176610979
PWH de Silva,836,859,1.027511961722488
JN Frylinck,835,615,0.7365269461077845
J Mubarak,833,531,0.6374549819927972
R Ashwin,831,707,0.8507821901323707
Gulsan Jha,827,625,0.7557436517533253
N de Klerk,817,589,0.7209302325581395
RH Priest,816,661,0.8100490196078431
Shafali Verma,813,644,0.7921279212792128
AD Russell,805,1034,1.284472049689441
LR Down,799,486,0.6082603254067585
L Winfield,797,564,0.7076537013801757
MA Vermeulen,796,517,0.6494974874371859
CJ Ferguson,795,663,0.8339622641509434
H Hiri,794,435,0.5478589420654912
Aayan Afzal Khan,791,585,0.7395701643489254
PL Mommsen,786,601,0.7646310432569975
AT Nidamanuru,781,713,0.912932138284251
PJ Moor,781,520,0.6658130601792573
Murshida Khatun,780,429,0.55
TLW Cooper,776,576,0.7422680412371134
C Green,770,626,0.812987012987013
PD Salt,770,866,1.1246753246753247
SW Billings,768,690,0.8984375
Sandeep Goud,766,535,0.6984334203655352
RM Ghosh,765,690,0.9019607843137255
Ayesha Zafar,764,407,0.5327225130890052
PRCS Kumarihami,764,283,0.3704188481675393
SA Yadav,751,773,1.0292942743009321
