player_name,total_runs,total_wickets_taken,player_of_match_awards,Impact_Score
FH Allen,582,0,1,682
PA de Silva,390,14,0,670
WG Jacks,468,5,1,668
GWHM Perera,668,0,0,668
KDU Prabodhani,126,27,0,666
KM Dabengwa,364,15,0,664
L Balaji,104,28,0,664
NR Kirton,483,4,1,663
RH Priest,661,0,0,661
MK Pandey,558,0,1,658
SE Rutherford,497,3,1,657
L Tucker,657,0,0,657
SS Pathirana,332,16,0,652
J Mubarak,531,1,1,651
Sadia Iqbal,28,31,0,648
AM Peterson,167,19,1,647
WP Masakadza,204,22,0,644
MADD Surangika,642,0,0,642
PM Weerakkody,638,0,0,638
BJ Hodge,516,1,1,636
Sandeep Goud,535,0,1,635
PSP Handscomb,632,0,0,632
Imran Nazir,531,0,1,631
CG Williams,427,5,1,627
MS Panesar,26,30,0,626
CN Ackermann,326,15,0,626
S Molineux,64,23,1,624
PJ Moor,520,0,1,620
KT Perkins,618,0,0,618
MA Vermeulen,517,0,1,617
HN Ya France,237,14,1,617
Mominul Haque,495,6,0,615
Kaleem Sana,73,27,0,613
Shakeel Ahmed,69,17,2,609
Khaled Mashud,605,0,0,605
Kyshona A Knight,597,0,0,597
DNT Zoysa,36,23,1,596
LR Down,486,0,1,586
AC Botha,265,16,0,585
ME Bouchier,482,0,1,582
SI Kamea,18,28,0,578
M Mupachikwa,376,0,2,576
A Bosch,355,1,2,575
SW Ambris,473,0,1,573
BJ Watling,573,0,0,573
TBM de Leede,113,18,1,573
Nizakat Khan,508,3,0,568
CM McBride,386,4,1,566
L Winfield,564,0,0,564
MO Odumbe,324,7,1,564
TS Sekhukhune,24,27,0,564
SMA Priyanjan,420,7,0,560
EL Lamb,396,3,1,556
DD Ebrahim,555,0,0,555
A Nao,54,20,1,554
Abdullah Shafique,554,0,0,554
MDT Kamini,353,0,2,553
JE Cameron,452,0,1,552
A Ndiraya,428,1,1,548
M Dillon,44,25,0,544
Shariz Ahmad,159,19,0,539
MD Dai,277,13,0,537
Nasum Ahmed,156,14,1,536
NJ Carey,136,20,0,536
L Louwrens,535,0,0,535
PW Borren,413,6,0,533
Mohammad Nawaz (3),193,17,0,533
Murshida Khatun,429,0,1,529
KS Lokuarachchi,164,18,0,524
