player_name,matches_played_as_batter,total_runs,Strike_Rate
CS Mugeri-Tiripano,268,280,74.07
S Randiv,507,280,71.79
Hannan Sarkar,340,280,52.14
Moin Khan,448,274,86.16
DT Christian,532,273,87.22
PS Punia,552,273,54.27
S Ismail,471,273,49.55
GH Worker,415,272,69.92
Umar Amin,460,271,66.42
MJ Henry,437,268,91.16
TA Blundell,416,266,86.08
Shamsur Rahman,303,266,74.51
B Bezuidenhout,433,266,71.89
AJ Hosein,407,266,70.93
LA Marsh,489,264,56.77
Diana Baig,463,262,68.95
M Musonda,270,262,64.69
Sadaf Shamas,434,262,52.82
Taufeeq Umar,415,262,51.98
UDU Chandana,457,260,66.16
IDR Bradshaw,424,259,61.23
GE Plimmer,428,256,62.44
C Madande,273,251,71.1
Tushar Imran,346,250,52.41
JD Campbell,303,248,113.76
SM Davies,496,244,102.09
ML Udawatte,499,243,66.21
DC Thomas,427,238,62.8
GJ Hopkins,444,236,74.45
Abid Ali,335,234,91.05
JM Kerr,428,232,105.94
HMD Rasangika,464,232,58.0
A Mohammed,428,232,40.85
NY McLean,386,231,63.81
STR Binny,536,230,91.27
TM Dowlin,401,228,62.98
I Udana,511,227,96.19
Jahurul Islam,341,226,69.54
Asmavia Iqbal,456,225,52.33
S Mostary,325,224,57.29
T Duffin,249,224,45.53
BR McDermott,341,223,79.64
P Mustard,501,219,89.75
T Stubbs,424,218,93.97
Saeed Anwar,426,218,68.55
Iram Javed,442,216,56.84
JM Fields,495,215,64.56
T Marumani,242,214,63.31
DJM Short,531,211,77.01
TK Musakanda,204,210,87.5
Khurram Manzoor,469,206,63.78
WP Masakadza,273,204,59.13
Khushdil Shah,346,200,93.46
Z Crawley,328,199,95.67
Saleem Elahi,426,199,64.82
MW Short,526,195,98.98
Kuldeep Yadav,580,195,47.45
Mohammad Nawaz (3),462,193,87.33
PJ Ingram,373,193,80.75
AJ Turner,413,192,116.36
GB Brent,264,192,62.95
H Karunaratne,482,190,45.24
PP Shaw,541,189,108.62
RD Rickelton,424,188,88.26
G Kirsten,260,186,81.58
BB Chari,257,186,45.15
CJ Jordan,492,184,84.4
S Rana,556,184,81.42
F Mutizwa,275,183,64.89
Sohag Gazi,342,182,87.92
ND McKenzie,438,182,70.0
Q Joseph,428,179,70.2
DM Richards,401,179,68.85
I Ranaweera,497,179,38.25
IC Gaze,428,176,59.66
NW Bracken,545,174,65.66
G Voll,359,173,105.49
Mohammad Nawaz,461,173,79.0
Najiha Alvi,434,170,62.73
Lata Mondal,301,170,48.71
AM Peterson,433,167,79.15
JG Bethell,495,167,78.77
AR Adams,394,165,107.14
Nurul Hasan,207,165,91.16
MJ Lumb,470,165,80.1
KS Lokuarachchi,496,164,75.58
D Bishoo,425,164,61.89
L Klusener,423,163,104.49
Shan Masood,461,163,67.36
Y Venugopal Rao,498,161,62.65
SJ McGlashan,402,160,68.38
Imran Tahir,469,157,67.38
T Kaitano,273,157,59.47
Nasum Ahmed,327,156,87.64
CMW Read,497,156,70.59
SRH Curtis,351,156,66.67
C Zhuwao,264,154,112.41
A Rawat,396,153,81.38
MDK Perera,498,152,73.43
AJ Redmond,279,152,57.14
D Ganga,323,152,50.33
BOP Fernando,448,148,62.18
LM Kasperek,433,148,53.62
Khalid Latif,417,147,63.09
Shorna Akter,333,147,60.0
Nazimuddin,289,147,59.76
BYA Mendis,464,147,58.33
JA Burns,535,146,77.25
ID Blackwell,503,146,68.54
K Zondo,469,146,62.13
NC Dodd,351,145,48.49
D Devnarain,403,145,48.01
CO Browne,424,144,84.21
S Jafta,449,144,51.8
MB Loye,399,142,74.74
RD Jacobs,368,142,63.11
KNA Bandara,465,141,64.98
SF Daley,428,141,58.75
TS Hasabnis,490,140,76.09
M Bhanuka,478,140,70.35
CT Dhururu,270,140,43.08
D Myers,242,138,71.13
KA Hope,402,138,68.66
T Bhatia,503,138,67.32
D Gough,518,137,69.19
Marina Iqbal,416,137,43.91
NJ Carey,491,136,93.79
HK Badani,534,135,77.14
S Verma,435,135,62.21
RP Singh,542,135,44.41
T Banton,426,134,92.41
AM Hardie,510,134,84.28
PA Browne,408,134,73.22
Faisal Iqbal,422,134,51.54
JL Smith,487,133,90.48
CR Seneviratna,464,133,48.01
TJ Friend,226,132,75.43
TS Kamunhukamwe,273,131,77.51
KH Pandya,572,130,99.24
HDPK Dharmasena,360,129,83.23
Nafees Iqbal,293,128,47.41
B Sai Sudharsan,580,127,88.19
N Hussain,457,127,64.14
Azhar Mahmood,453,126,76.83
SACA King,386,126,54.08
KDU Prabodhani,497,126,35.69
P Marange,270,125,81.7
ML Nkala,265,125,70.22
FL Mackay,384,125,63.78
RS Kaluwitharana,348,124,68.89
Dhiman Ghosh,291,124,60.49
