player_name,total_runs,strike_rate,total_wickets_taken,player_of_match_awards,Performance_Score,Player_Rank
WW Hinds,1066,65.5596556,22,1,2261.596556,290
HM Rowe,332,66.26746507,58,1,2254.6746507,291
JM Davison,443,112.7226463,19,3,2250.226463,292
Kushal Malla,756,86.89655172,26,1,2244.9655172000002,293
Vikramjit Singh,1190,70.33096927,7,2,2233.3096926999997,294
M Klaas,103,38.86792453,77,2,2231.6792453,295
Sabbir Rahman,1259,90.25089606,3,0,2221.5089606,296
PG Fulton,1216,70.45191194,0,3,2220.5191194,297
CM Edwards,1054,71.99453552,2,4,2213.9453552,298
Aliya Riaz,1207,63.66033755,13,1,2203.6033755,299
L Vincent,1089,68.36158192,1,4,2192.6158192000003,300
Shahriar Nafees,1216,66.92350028,0,3,2185.2350028,301
Nazmul Hossain Shanto,1165,79.95881949,1,2,2184.5881949,302
S Samarawickrama,1073,90.625,0,2,2179.25,303
JN Loftie-Eaton,796,74.25373134,22,2,2178.5373134,304
AJ Hosein,266,70.93333333,60,0,2175.3333333,305
G Singh,938,81.21212121,6,3,2170.1212121,306
CJ Jordan,184,84.40366972,47,2,2168.0366972,307
JF Mooney,610,81.769437,37,0,2167.69437,308
JI Rodrigues,1051,80.90839107,5,2,2160.0839107,309
ASS Fletcher,282,64.97695853,61,0,2151.7695853,310
KW Richardson,75,107.1428571,45,1,2146.428571,311
P Vastrakar,579,86.28912072,29,1,2121.8912072000003,312
H Thaker,612,66.81222707,22,4,2120.1222707,313
S Sreesanth,44,35.2,81,1,2116.0,314
BMAJ Mendis,593,80.02699055,31,1,2113.2699055,315
LPC Silva,1279,70.85872576,1,1,2107.5872576,316
Nashra Sandhu,89,27.55417957,87,0,2104.5417957,317
D Gough,137,69.19191919,58,1,2088.9191919,318
TP Ura,1196,78.37483617,0,1,2079.7483617,319
P Litchfield,895,78.37127846,0,4,2078.7127846,320
GC Wilson,1232,74.53115547,0,1,2077.3115546999998,321
TK Curran,303,91.26506024,38,1,2075.6506024,322
MJ Prior,1229,74.39467312,0,1,2072.9467311999997,323
Aftab Ahmed,1061,73.12198484,4,2,2072.2198484,324
MN Waller,1039,75.12653651,9,1,2070.2653651,325
RN ten Doeschate,594,87.09677419,20,2,2064.9677419,326
CA Henry,537,76.38691323,33,1,2060.8691323000003,327
C Green,626,81.2987013,21,2,2058.987013,328
M Kaif,1314,63.72453928,0,1,2051.2453928,329
RS Morton,1205,64.36965812,0,2,2048.6965812,330
O Prendergast,821,74.36594203,18,1,2024.6594203,331
Aarif Sheikh,1032,62.62135922,8,2,2018.2135922,332
GD Phillips,710,94.79305741,13,1,2017.9305741,333
Imran Farhat,1232,64.5364065,2,1,2017.364065,334
KJ Martin,1161,75.5859375,0,1,2016.859375,335
G Chapple,14,200.0,0,0,2014.0,336
Agha Salman,637,97.6993865,15,1,2013.993865,337
Mohammad Hasnain,53,155.8823529,20,0,2011.823529,338
DT Johnston,361,76.32135307,39,1,2004.2135306999999,339
RR Pant,871,102.9550827,0,1,2000.550827,340
A Mohammed,232,40.84507042,58,2,2000.4507042,341
AR Adams,165,107.1428571,28,2,1996.428571,342
S Prasanna,421,91.52173913,33,0,1996.2173913000001,343
LA Marsh,264,56.77419355,53,1,1991.7419355,344
PD Salt,866,112.4675325,0,0,1990.6753250000002,345
Ishan Kishan,886,99.5505618,0,1,1981.505618,346
JWA Taylor,879,79.54751131,0,3,1974.4751131,347
Asad Shafiq,1312,66.06243706,0,0,1972.6243706,348
JN Malan,958,81.39337298,0,2,1971.9337298,349
C Kieswetter,985,87.16814159,0,1,1956.6814159,350
AC Voges,798,83.47280335,6,2,1952.7280335,351
SA Campbelle,1167,59.90759754,4,1,1946.0759754,352
SC Kuggeleijn,11,183.3333333,5,0,1944.333333,353
R Powell,915,86.81214421,3,1,1943.1214421,354
SE Aley,15,187.5,2,0,1930.0,355
Sharjeel Khan,787,113.7283237,0,0,1924.283237,356
LM Kasperek,148,53.62318841,57,1,1924.2318841000001,357
S Bau,874,58.93459204,13,2,1923.3459204,358
RR Hendricks,930,76.79603633,1,2,1917.9603633000002,359
MS Chapman,684,102.8571429,0,2,1912.571429,360
AJ Blackwell,953,75.75516693,0,2,1910.5516693,361
FDM Karunaratne,1044,76.59574468,0,1,1909.9574468,362
HC Brook,653,105.4927302,0,2,1907.927302,363
