player_name,Total_Runs,Total_Balls_Faced,Strike_Rate,RUNS_PER_BALL
PA Patel,693,884,78.39,0.7839366515837104
RM Ghosh,690,765,90.2,0.9019607843137255
SW Billings,690,768,89.84,0.8984375
ZE Green,686,872,78.67,0.786697247706422
MS Chapman,684,665,102.86,1.0285714285714285
HASD Siriwardene,679,1213,55.98,0.5597691673536686
Umaima Sohail,670,1086,61.69,0.6169429097605893
TT Samaraweera,669,914,73.19,0.7319474835886215
GWHM Perera,668,1177,56.75,0.5675446049277825
YH Bhatia,666,953,69.88,0.6988457502623295
CJ Ferguson,663,795,83.4,0.8339622641509434
RH Priest,661,816,81.0,0.8100490196078431
HJH Marshall,661,980,67.45,0.6744897959183673
L Tucker,657,856,76.75,0.7675233644859814
HC Brook,653,619,105.49,1.0549273021001615
CA Soper,653,1179,55.39,0.5538592027141646
CK Coventry,645,737,87.52,0.8751696065128901
Shafali Verma,644,813,79.21,0.7921279212792128
Sharmin Akhter,643,1140,56.4,0.5640350877192982
MADD Surangika,642,1210,53.06,0.5305785123966942
PM Weerakkody,638,1172,54.44,0.5443686006825939
Agha Salman,637,652,97.7,0.9769938650306749
PSP Handscomb,632,656,96.34,0.9634146341463414
C Green,626,770,81.3,0.812987012987013
Gulsan Jha,625,827,75.57,0.7557436517533253
Sompal Kami,621,866,71.71,0.7170900692840647
JN Mohammed,621,929,66.85,0.6684607104413348
KT Perkins,618,838,73.75,0.7374701670644391
JN Frylinck,615,835,73.65,0.7365269461077845
A Bagai,614,995,61.71,0.6170854271356784
H Thaker,612,916,66.81,0.6681222707423581
JF Mooney,610,746,81.77,0.8176943699731903
Khaled Mashud,605,1139,53.12,0.5311676909569798
PL Mommsen,601,786,76.46,0.7646310432569975
Kyshona A Knight,597,1244,47.99,0.47990353697749194
RN ten Doeschate,594,682,87.1,0.8709677419354839
J Botha,594,718,82.73,0.8272980501392758
BMAJ Mendis,593,741,80.03,0.8002699055330634
JM Vince,590,682,86.51,0.8651026392961877
N de Klerk,589,817,72.09,0.7209302325581395
Aayan Afzal Khan,585,791,73.96,0.7395701643489254
FH Allen,582,637,91.37,0.9136577708006279
P Vastrakar,579,671,86.29,0.8628912071535022
TLW Cooper,576,776,74.23,0.7422680412371134
WD Parnell,574,743,77.25,0.7725437415881561
BJ Watling,573,860,66.63,0.6662790697674419
WPUJC Vaas,569,845,67.34,0.6733727810650888
AR Patel,568,631,90.02,0.9001584786053882
L Winfield,564,797,70.77,0.7076537013801757
H Deol,561,733,76.53,0.7653478854024557
MK Pandey,558,624,89.42,0.8942307692307693
DD Ebrahim,555,1050,52.86,0.5285714285714286
Abdullah Shafique,554,689,80.41,0.8040638606676342
Afif Hossain,548,631,86.85,0.8684627575277337
N Deonarine,546,873,62.54,0.6254295532646048
Babar Hayat,539,749,71.96,0.719626168224299
CA Henry,537,703,76.39,0.7638691322901849
Sandeep Goud,535,766,69.84,0.6984334203655352
L Louwrens,535,918,58.28,0.5827886710239651
JL Jonassen,533,632,84.34,0.8433544303797469
Imran Nazir,531,604,87.91,0.8791390728476821
J Mubarak,531,833,63.75,0.6374549819927972
CR Brathwaite,527,613,85.97,0.8597063621533442
Mosaddek Hossain,524,655,80.0,0.8
RJ Peterson,523,636,82.23,0.8223270440251572
JP Inglis,521,525,99.24,0.9923809523809524
Nain Abidi,521,955,54.55,0.5455497382198953
PJ Moor,520,781,66.58,0.6658130601792573
K Doriga,520,927,56.09,0.5609492988133765
MA Vermeulen,517,796,64.95,0.6494974874371859
BJ Hodge,516,583,88.51,0.8850771869639794
CD Wallace,515,598,86.12,0.8612040133779264
SV Samson,510,527,96.77,0.967741935483871
Nizakat Khan,508,628,80.89,0.8089171974522293
SL Malinga,508,701,72.47,0.724679029957204
LV van Beek,505,610,82.79,0.8278688524590164
AN Petersen,498,610,81.64,0.8163934426229508
SE Rutherford,497,450,110.44,1.1044444444444443
Shayan Jahangir,497,583,85.25,0.8524871355060034
Mominul Haque,495,671,73.77,0.7377049180327869
SM Sharif,492,705,69.79,0.6978723404255319
JWM Dalrymple,487,677,71.94,0.7193500738552437
AA Obanda,487,704,69.18,0.6917613636363636
LR Down,486,799,60.83,0.6082603254067585
Fatima Sana,484,696,69.54,0.6954022988505747
NR Kirton,483,651,74.19,0.7419354838709677
ME Bouchier,482,466,103.43,1.0343347639484979
RS Williams,477,1032,46.22,0.4622093023255814
K Verreynne,476,546,87.18,0.8717948717948718
SW Ambris,473,505,93.66,0.9366336633663367
N Chantam,473,689,68.65,0.6865021770682148
WG Jacks,468,477,98.11,0.9811320754716981
EJ Villani,468,606,77.23,0.7722772277227723
MA Ouma,468,855,54.74,0.5473684210526316
Javed Omar,468,967,48.4,0.483971044467425
Karan KC,457,549,83.24,0.8324225865209471
AR Nurse,454,464,97.84,0.978448275862069
GS Ballance,454,647,70.17,0.7017001545595054
JE Cameron,452,601,75.21,0.7520798668885191
JL Denly,446,645,69.15,0.6914728682170542
Pratika Rawal,444,496,89.52,0.8951612903225806
Ghulam Shabber,444,716,62.01,0.6201117318435754
JM Davison,443,393,112.72,1.1272264631043256
S Lamichhane,440,500,88.0,0.88
A Johnson,438,460,95.22,0.9521739130434783
H Hiri,435,794,54.79,0.5478589420654912
Murshida Khatun,429,780,55.0,0.55
A Ndiraya,428,624,68.59,0.6858974358974359
CG Williams,427,550,77.64,0.7763636363636364
MN van Wyk,425,631,67.35,0.6735340729001584
S Prasanna,421,460,91.52,0.9152173913043479
SMA Priyanjan,420,533,78.8,0.7879924953095685
PW Borren,413,463,89.2,0.8920086393088553
FC Wilson,412,441,93.42,0.9342403628117913
V Krishnamurthy,410,475,86.32,0.8631578947368421
RD Shah,407,647,62.91,0.6290571870170015
Ayesha Zafar,407,764,53.27,0.5327225130890052
Simi Singh,406,517,78.53,0.7852998065764023
RMVD Gunaratne,401,573,69.98,0.699825479930192
Ali Naseer,396,399,99.25,0.9924812030075187
EL Lamb,396,473,83.72,0.8372093023255814
T Mishra,395,564,70.04,0.700354609929078
MAA Sanjeewani,395,699,56.51,0.5650929899856938
AB Barath,394,629,62.64,0.6263910969793323
MW Machan,393,497,79.07,0.7907444668008048
Suraj Kumar,392,524,74.81,0.7480916030534351
PA de Silva,390,487,80.08,0.8008213552361396
CM McBride,386,548,70.44,0.7043795620437956
MA Jones,385,582,66.15,0.6615120274914089
CS Baugh,382,563,67.85,0.6785079928952042
T de Zorzi,381,399,95.49,0.9548872180451128
J Gumbie,379,581,65.23,0.6523235800344234
XM Marshall,379,677,55.98,0.5598227474150664
M Mupachikwa,376,675,55.7,0.557037037037037
Asif Ali,375,317,118.3,1.1829652996845426
PJ Forrest,368,577,63.78,0.6377816291161178
MS Sinclair,367,566,64.84,0.6484098939929329
DW Steyn,365,592,61.66,0.6165540540540541
Tanzid Hasan,364,360,101.11,1.011111111111111
KM Dabengwa,364,631,57.69,0.5768621236133122
SP Narine,363,455,79.78,0.7978021978021979
DT Johnston,361,473,76.32,0.7632135306553911
CB Wishart,361,496,72.78,0.7278225806451613
DG Brownlie,361,500,72.2,0.722
Naseem Khushi,360,335,107.46,1.0746268656716418
MDN Hansika,357,748,47.73,0.4772727272727273
A Bosch,355,481,73.8,0.738045738045738
J Nkomo,354,553,64.01,0.6401446654611211
MDT Kamini,353,556,63.49,0.6348920863309353
R Trumpelmann,350,441,79.37,0.7936507936507936
SJ Myburgh,347,466,74.46,0.7446351931330472
Rumana Ahmed,346,683,50.66,0.5065885797950219
AA Alleyne,341,568,60.04,0.6003521126760564
LMM Tahuhu,340,395,86.08,0.8607594936708861
NV Knight,339,483,70.19,0.7018633540372671
M Vijay,339,516,65.7,0.6569767441860465
B Cooper,339,581,58.35,0.5834767641996558
R Rampaul,338,450,75.11,0.7511111111111111
Rashid Latif,335,408,82.11,0.821078431372549
SS Pathirana,332,399,83.21,0.8320802005012531
A Flower,332,472,70.34,0.7033898305084746
HM Rowe,332,501,66.27,0.6626746506986028
I Kaia,332,520,63.85,0.6384615384615384
HP Tillakaratne,332,562,59.07,0.5907473309608541
KA Edwards,331,510,64.9,0.6490196078431373
D Khanal,329,482,68.26,0.6825726141078838
Adnan Mufti,328,413,79.42,0.7941888619854721
SS Weerakkody,328,521,62.96,0.6295585412667947
SA Engelbrecht,327,519,63.01,0.630057803468208
CN Ackermann,326,434,75.12,0.7511520737327189
MH Yardy,326,490,66.53,0.6653061224489796
SJ Baard,326,567,57.5,0.5749559082892416
Sidra Nawaz,325,666,48.8,0.487987987987988
MO Odumbe,324,363,89.26,0.8925619834710744
S Movva,324,482,67.22,0.6721991701244814
A Sharma,323,468,69.02,0.6901709401709402
MR Aguilleira,323,598,54.01,0.540133779264214
AC Agar,322,400,80.5,0.805
MR Meshram,322,571,56.39,0.563922942206655
DA Gunawardene,322,591,54.48,0.544839255499154
AK Sah,320,365,87.67,0.8767123287671232
R Mutumbami,319,447,71.36,0.7136465324384788
JP Kotze,316,449,70.38,0.7037861915367484
Washington Sundar,315,386,81.61,0.8160621761658031
LM Jongwe,315,398,79.15,0.7914572864321608
D la Cock,313,475,65.89,0.6589473684210526
KAJ Roach,308,610,50.49,0.5049180327868853
A Athanaze,306,378,80.95,0.8095238095238095
ADS Fletcher,305,503,60.64,0.6063618290258449
Shamima Sultana,304,540,56.3,0.562962962962963
TK Curran,303,332,91.27,0.9126506024096386
DO Obuya,302,583,51.8,0.5180102915951973
LE Bosman,301,318,94.65,0.9465408805031447
KE Bryce,301,358,84.08,0.840782122905028
AR White,301,498,60.44,0.6044176706827309
PA Nixon,297,351,84.62,0.8461538461538461
NS Dhaliwal,295,523,56.41,0.5640535372848948
L Winfield-Hill,294,474,62.03,0.620253164556962
DLS van Bunge,293,519,56.45,0.5645472061657033
C Brits,292,421,69.36,0.6935866983372921
SMSM Senanayake,290,321,90.34,0.9034267912772586
MV Waldron,290,639,45.38,0.4538341158059468
B de Leede,289,435,66.44,0.664367816091954
AJ Stewart,287,409,70.17,0.7017114914425427
MK Tiwary,287,412,69.66,0.6966019417475728
AF Giles,286,390,73.33,0.7333333333333333
DN Wellalage,285,380,75.0,0.75
Saud Shakeel,283,328,86.28,0.8628048780487805
