player_name,total_overs_bowled,total_wickets_taken,total_runs_conceded,Wickets_Per_Over,Runs_Conceded_Per_Wicket
Sadia Iqbal,1105,31,671,0.028,21.65
AM Bacher,108,3,66,0.028,22.0
M Kapp,4729,133,3154,0.028,23.71
TK Patel,176,5,120,0.028,24.0
SP Narine,3554,99,2445,0.028,24.7
CM McBride,145,4,102,0.028,25.5
TM Odoyo,1635,45,1172,0.028,26.04
JN Frylinck,1298,36,938,0.028,26.06
I Toua,395,11,288,0.028,26.18
CA Soper,2380,67,1774,0.028,26.48
A Capsey,289,8,218,0.028,27.25
HM Rowe,2075,58,1603,0.028,27.64
AJ Hosein,2132,60,1709,0.028,28.48
DT Christian,739,21,605,0.028,28.81
Mahedi Hasan,534,15,441,0.028,29.4
SR Watson,5690,162,4780,0.028,29.51
M Klaas,2771,77,2277,0.028,29.57
RP Singh,2817,80,2487,0.028,31.09
HDRL Thirimanne,107,3,94,0.028,31.33
T Mupariwa,1417,39,1225,0.028,31.41
DPMD Jayawardene,72,2,63,0.028,31.5
MDK Perera,466,13,413,0.028,31.77
W O'Rourke,287,8,258,0.028,32.25
TT Bresnan,4300,120,3879,0.028,32.33
LV van Beek,1759,50,1619,0.028,32.38
RN ten Doeschate,711,20,654,0.028,32.7
L Balaji,1005,28,928,0.028,33.14
SR Thompson,357,10,333,0.028,33.3
T Maruma,217,6,204,0.028,34.0
TK Curran,1340,38,1315,0.028,34.61
AAP Atkinson,399,11,395,0.028,35.91
JDS Neesham,2512,71,2573,0.028,36.24
Khushdil Shah,109,3,122,0.028,40.67
PKD Chase,668,19,776,0.028,40.84
V Krishnamurthy,113,3,58,0.027,19.33
BM Scholtz,2619,70,1479,0.027,21.13
NJ Carey,754,20,511,0.027,25.55
Rumana Ahmed,951,26,669,0.027,25.73
IDR Bradshaw,2537,69,1777,0.027,25.75
AC Botha,597,16,424,0.027,26.5
HK Matthews,3025,83,2210,0.027,26.63
Nashra Sandhu,3282,87,2413,0.027,27.74
KS Lokuarachchi,666,18,503,0.027,27.94
AE Satterthwaite,1060,29,839,0.027,28.93
PT Collins,442,12,354,0.027,29.5
Nizakat Khan,110,3,89,0.027,29.67
WB Rankin,2489,67,1996,0.027,29.79
CN Ackermann,553,15,448,0.027,29.87
RJ Peterson,2798,76,2280,0.027,30.0
EL Lamb,110,3,96,0.027,32.0
SG Whittingham,226,6,192,0.027,32.0
AB Kaur,226,6,197,0.027,32.83
Javeria Khan,299,8,271,0.027,33.88
SPD Smith,1081,29,985,0.027,33.97
KA Pollard,2226,59,2086,0.027,35.36
CR Brathwaite,1725,46,1647,0.027,35.8
EJ Villani,222,6,216,0.027,36.0
CJ Jordan,1728,47,1708,0.027,36.34
Vikramjit Singh,257,7,261,0.027,37.29
SF Mire,408,11,420,0.027,38.18
Tanvir Ahmed,37,1,45,0.027,45.0
D Parashar,192,5,93,0.026,18.6
LA Marsh,2048,53,1414,0.026,26.68
MG Erasmus,1286,34,921,0.026,27.09
TG Norris,268,7,191,0.026,27.29
EA Perry,3198,83,2352,0.026,28.34
DT Johnston,1508,39,1133,0.026,29.05
PJ Ongondo,1313,34,995,0.026,29.26
M Dillon,980,25,737,0.026,29.48
AD Mathews,5205,137,4068,0.026,29.69
AC Kerr,3719,97,2891,0.026,29.8
O Chare,116,3,91,0.026,30.33
ST Jayasuriya,4004,105,3194,0.026,30.42
Sohag Gazi,939,24,736,0.026,30.67
R Ashwin,6358,166,5228,0.026,31.49
DN Wyatt,537,14,447,0.026,31.93
MS Dhoni,38,1,32,0.026,32.0
Mudassar Bukhari,606,16,515,0.026,32.19
M van Lingen,76,2,65,0.026,32.5
S Randiv,1447,38,1240,0.026,32.63
Mashrafe Mortaza,8756,227,7441,0.026,32.78
SO Tikolo,1089,28,919,0.026,32.82
DN Wellalage,1040,27,909,0.026,33.67
SMA Priyanjan,270,7,236,0.026,33.71
MKDI Amerasinghe,391,10,339,0.026,33.9
JA Morkel,1900,50,1736,0.026,34.72
JO Holder,6205,162,5712,0.026,35.26
M Vijay,38,1,38,0.026,38.0
SE Rutherford,115,3,161,0.026,53.67
AI Chudasama,405,10,250,0.025,25.0
D Hazell,1375,34,904,0.025,26.59
V Sukumaran,122,3,83,0.025,27.67
H Thaker,882,22,617,0.025,28.05
WPUJC Vaas,4806,118,3317,0.025,28.11
FR Davies,439,11,316,0.025,28.73
Kashif Daud,676,17,495,0.025,29.12
SS Weerakkody,1122,28,826,0.025,29.5
Rohan Mustafa,3508,87,2654,0.025,30.51
Syed Rasel,2095,53,1634,0.025,30.83
SMSM Senanayake,2384,60,1892,0.025,31.53
S Rana,1030,26,820,0.025,31.54
CH Gayle,4517,112,3569,0.025,31.87
TS Chisoro,488,12,383,0.025,31.92
Umaima Sohail,711,18,584,0.025,32.44
Mehedi Hasan Miraz,4240,107,3511,0.025,32.81
B Muzarabani,2131,54,1794,0.025,33.22
MJ Clarke,2264,56,1868,0.025,33.36
N Vanua,2223,56,1880,0.025,33.57
L Klusener,476,12,403,0.025,33.58
J Kila,239,6,203,0.025,33.83
O Prendergast,733,18,616,0.025,34.22
PP Chawla,1330,33,1131,0.025,34.27
RK Kleinveldt,481,12,415,0.025,34.58
Yuvraj Singh,4028,99,3438,0.025,34.73
D Joseph,202,5,174,0.025,34.8
Mohammad Nawaz (3),690,17,595,0.025,35.0
RML Taylor,437,11,386,0.025,35.09
MC Henriques,408,10,354,0.025,35.4
MR Marsh,2257,57,2047,0.025,35.91
HH Pandya,3218,81,2919,0.025,36.04
P Vastrakar,1155,29,1049,0.025,36.17
KJ O'Brien,2392,60,2221,0.025,37.02
C Green,841,21,788,0.025,37.52
LM Jongwe,1126,28,1083,0.025,38.68
HDRS Silva,80,2,83,0.025,41.5
KO Meth,400,10,416,0.025,41.6
Javeria Rauf,40,1,47,0.025,47.0
TD Smartt,508,12,319,0.024,26.58
Aayan Afzal Khan,1801,43,1202,0.024,27.95
DS Airee,1919,46,1287,0.024,27.98
SSD Arachchige,42,1,28,0.024,28.0
SW Currie,126,3,87,0.024,29.0
SD Udal,42,1,29,0.024,29.0
A Mazvishaya,491,12,350,0.024,29.17
Kushal Malla,1068,26,766,0.024,29.46
MD Dai,545,13,387,0.024,29.77
Saad Bin Zafar,1063,25,760,0.024,30.4
PP Ojha,882,21,660,0.024,31.43
AR Patel,2804,67,2117,0.024,31.6
I Ranaweera,2569,62,1975,0.024,31.85
Saqlain Mushtaq,166,4,132,0.024,33.0
CA Henry,1354,33,1105,0.024,33.48
Abdul Razzaq,4518,110,3694,0.024,33.58
LHD Dilhara,126,3,101,0.024,33.67
TS Roland-Jones,42,1,34,0.024,34.0
PA de Silva,572,14,487,0.024,34.79
M Kartik,1227,30,1048,0.024,34.93
KM Jadhav,1173,28,1005,0.024,35.89
JP Behrendorff,656,16,581,0.024,36.31
DJ Hussey,791,19,694,0.024,36.53
Avesh Khan,371,9,330,0.024,36.67
SKW Kelly,84,2,74,0.024,37.0
YK Pathan,1517,37,1379,0.024,37.27
AC Jayangani,1421,34,1295,0.024,38.09
AJ Ireland,674,16,612,0.024,38.25
K Mahato,85,2,77,0.024,38.5
PLS Gamage,418,10,397,0.024,39.7
AC Voges,247,6,240,0.024,40.0
GD Phillips,547,13,541,0.024,41.62
I Udana,908,22,928,0.024,42.18
AT Rayudu,124,3,128,0.024,42.67
Muhammad Jawadullah,288,7,316,0.024,45.14
JI de Villiers,126,3,140,0.024,46.67
RR Hendricks,42,1,47,0.024,47.0
M Labuschagne,254,6,284,0.024,47.33
HJ Thomas,392,9,246,0.023,27.33
R Ntozakhe,912,21,582,0.023,27.71
L Lee,86,2,56,0.023,28.0
A Vala,2017,47,1320,0.023,28.09
G Sultana,518,12,338,0.023,28.17
U Bhatti,516,12,350,0.023,29.17
AJ Turner,86,2,60,0.023,30.0
AF Giles,1628,38,1144,0.023,30.11
WK McCallan,612,14,425,0.023,30.36
BCJ Cutting,220,5,160,0.023,32.0
TS Sekhukhune,1150,27,875,0.023,32.41
JR Hopes,3132,73,2414,0.023,33.07
MS Panesar,1314,30,1000,0.023,33.33
LPC Silva,44,1,34,0.023,34.0
H Deol,87,2,69,0.023,34.5
PA Chatterji,351,8,284,0.023,35.5
DR Smith,2257,53,1888,0.023,35.62
PD Collingwood,4250,96,3444,0.023,35.88
V Sehwag,2475,58,2083,0.023,35.91
RC Irani,355,8,288,0.023,36.0
A Nao,871,20,724,0.023,36.2
Jatinder Singh,43,1,37,0.023,37.0
Asmavia Iqbal,1165,27,1019,0.023,37.74
SZ Thakor,442,10,378,0.023,37.8
Shafali Verma,87,2,76,0.023,38.0
JM Vince,43,1,38,0.023,38.0
MA Aponso,431,10,381,0.023,38.1
MD Shanaka,938,22,844,0.023,38.36
AM Hardie,301,7,269,0.023,38.43
G Kodali,306,7,275,0.023,39.29
E Chigumbura,3753,88,3551,0.023,40.35
RP Arnold,352,8,326,0.023,40.75
Agha Salman,662,15,622,0.023,41.47
MP Stoinis,2073,48,2067,0.023,43.06
AB Dinda,613,14,618,0.023,44.14
LP van Troost,43,1,82,0.023,82.0
Tushar Imran,90,2,59,0.022,29.5
P Marange,457,10,307,0.022,30.7
GM Ewing,273,6,186,0.022,31.0
GP Tom,184,4,127,0.022,31.75
TB Sole,412,9,291,0.022,32.33
SFM Devine,2489,55,1914,0.022,34.8
GB Brent,1140,25,900,0.022,36.0
S Matsikenyeri,687,15,563,0.022,37.53
RS Bopara,1858,41,1546,0.022,37.71
J Patraj,92,2,76,0.022,38.0
BMAJ Mendis,1394,31,1199,0.022,38.68
SC Ganguly,1015,22,864,0.022,39.27
CS Fraser,409,9,358,0.022,39.78
TM Head,1117,25,1062,0.022,42.48
MM Lanning,45,1,44,0.022,44.0
RR Rossouw,46,1,44,0.022,44.0
B Ward,183,4,186,0.022,46.5
PM Liyanagamage,229,5,271,0.022,54.2
RL Bhudia,48,1,23,0.021,23.0
H Graham,48,1,30,0.021,30.0
SA Campbelle,195,4,130,0.021,32.5
L Tshuma,466,10,328,0.021,32.8
DEM Carter,380,8,268,0.021,33.5
V Buruka,143,3,106,0.021,35.33
Nida Dar,2917,62,2224,0.021,35.87
CL Tryon,1914,40,1445,0.021,36.12
J Botha,3673,77,2839,0.021,36.87
Saud Shakeel,47,1,37,0.021,37.0
NB Mahwire,389,8,297,0.021,37.12
S Bau,613,13,492,0.021,37.85
Mohammad Nawaz,982,21,843,0.021,40.14
E Schiferli,388,8,331,0.021,41.38
T Kamungozi,580,12,500,0.021,41.67
JP Duminy,3460,74,3094,0.021,41.81
KM Dabengwa,715,15,647,0.021,43.13
SS Pathirana,776,16,724,0.021,45.25
Haris Sohail,613,13,593,0.021,45.62
WG Jacks,240,5,229,0.021,45.8
CJ Chibhabha,1417,30,1379,0.021,45.97
K Birkenstock,236,5,230,0.021,46.0
GH Lewis,390,8,373,0.021,46.62
TL Chivanga,189,4,187,0.021,46.75
RK Whelan,95,2,105,0.021,52.5
DR Brown,140,3,163,0.021,54.33
RP Lefebvre,199,4,126,0.02,31.5
C de Lange,611,12,416,0.02,34.67
R Slater,51,1,35,0.02,35.0
D Langford-Smith,489,10,362,0.02,36.2
D Elgar,98,2,74,0.02,37.0
LE Milliken,49,1,37,0.02,37.0
GC Tonge,307,6,229,0.02,38.17
Diana Baig,2121,43,1683,0.02,39.14
CJA Amini,1620,33,1298,0.02,39.33
R Klein,615,12,496,0.02,41.33
RD Berrington,762,15,647,0.02,43.13
NJ Astle,404,8,346,0.02,43.25
Mahmudullah,4086,83,3605,0.02,43.43
SK Raina,2147,42,1832,0.02,43.62
J Mubarak,51,1,44,0.02,44.0
AC Agar,1107,22,970,0.02,44.09
GJ Maxwell,3812,78,3441,0.02,44.12
Mukesh Kumar,249,5,221,0.02,44.2
MM Ali,5935,119,5303,0.02,44.56
F Hand,49,1,45,0.02,45.0
AC Cummins,203,4,181,0.02,45.25
AR Nurse,2187,44,2009,0.02,45.66
SR Tendulkar,1545,31,1420,0.02,45.81
KP Pietersen,403,8,368,0.02,46.0
MD Gunathilaka,405,8,375,0.02,46.88
K Gowtham,50,1,51,0.02,51.0
H Karunaratne,101,2,103,0.02,51.5
SA Millanta,153,3,164,0.02,54.67
Marina Iqbal,49,1,62,0.02,62.0
Qanita Jalil,323,6,171,0.019,28.5
Mohammad Hafeez,7303,142,5081,0.019,35.78
HN Ya France,726,14,556,0.019,39.71
CG Williams,264,5,201,0.019,40.2
HASD Siriwardene,1695,32,1341,0.019,41.91
Nahid Rana,104,2,86,0.019,43.0
Shahbaz Ahmed,156,3,129,0.019,43.0
TM Dilshan,5141,97,4197,0.019,43.27
MO Odumbe,364,7,307,0.019,43.86
SW Bates,1326,25,1098,0.019,43.92
MM Penfold,540,10,447,0.019,44.7
TLW Cooper,315,6,282,0.019,47.0
G Onions,215,4,189,0.019,47.25
E Mbofana,269,5,250,0.019,50.0
TS Nethula,268,5,250,0.019,50.0
H Patel,107,2,102,0.019,51.0
T Granger,108,2,112,0.019,56.0
JW Wilson,54,1,68,0.019,68.0
SG Borthwick,54,1,72,0.019,72.0
ID Blackwell,846,15,567,0.018,37.8
Sania Khan,111,2,76,0.018,38.0
D Soraine,55,1,38,0.018,38.0
Bismah Maroof,666,12,498,0.018,41.5
KDU Prabodhani,1485,27,1130,0.018,41.85
JN Mohammed,442,8,342,0.018,42.75
Nasum Ahmed,778,14,613,0.018,43.79
Imad Wasim,2388,44,1936,0.018,44.0
D Bishoo,2056,38,1675,0.018,44.08
DJG Sammy,4891,87,3842,0.018,44.16
MN Samuels,3692,66,2952,0.018,44.73
NE Farrant,218,4,179,0.018,44.75
N Mlaba,1365,24,1083,0.018,45.12
SF Daley,507,9,411,0.018,45.67
WP Masakadza,1200,22,1030,0.018,46.82
PR Stirling,1485,26,1227,0.018,47.19
BMSM Kumari,1024,18,872,0.018,48.44
RG Sharma,614,11,538,0.018,48.91
JL Pattinson,705,13,652,0.018,50.15
K Phillip,171,3,159,0.018,53.0
H Masakadza,1249,22,1174,0.018,53.36
CT Mutombodzi,282,5,271,0.018,54.2
Zahid Mahmood,218,4,221,0.018,55.25
MW Machan,226,4,223,0.018,55.75
DO Leicher,57,1,56,0.018,56.0
C Prathyusha,56,1,60,0.018,60.0
TJ Friend,57,1,69,0.018,69.0
S Dhakal,229,4,149,0.017,37.25
TMM Newton,354,6,251,0.017,41.83
FC Jonas,1077,18,820,0.017,45.56
JWM Dalrymple,868,15,686,0.017,45.73
MP Vaughan,522,9,429,0.017,47.67
AJ Finch,287,5,259,0.017,51.8
S Prasanna,1936,33,1742,0.017,52.79
SC Meaker,117,2,113,0.017,56.5
Ehsan Adil,229,4,229,0.017,57.25
F Behardien,716,12,694,0.017,57.83
GJ Delany,351,6,374,0.017,62.33
Bilawal Bhatti,420,7,448,0.017,64.0
Ahmed Shehzad,116,2,140,0.017,70.0
A van der Merwe,126,2,79,0.016,39.5
RT Lyons,62,1,41,0.016,41.0
EC Rainsford,1070,17,805,0.016,47.35
D Ravu,608,10,503,0.016,50.3
CP Rizwan,61,1,51,0.016,51.0
MH Yardy,1289,20,1052,0.016,52.6
LJ Wright,1050,17,910,0.016,53.53
C Munro,563,9,483,0.016,53.67
MN Waller,580,9,497,0.016,55.22
Mosaddek Hossain,1016,16,904,0.016,56.5
IJL Trott,185,3,174,0.016,58.0
MEK Hussey,249,4,237,0.016,59.25
ML Nkala,311,5,315,0.016,63.0
A Ashok,61,1,65,0.016,65.0
Kainat Imtiaz,451,7,465,0.016,66.43
IH Romaine,64,1,75,0.016,75.0
S Immadi,272,4,156,0.015,39.0
KHRK Fernando,68,1,41,0.015,41.0
