player_name,Total_Matches_Played,Total_Matches_Lost,Players_Loss_Percentage
E Schiferli,87,61,70.11494252873563
B Zuiderent,87,61,70.11494252873563
KJJ van Noortwijk,87,61,70.11494252873563
TBM de Leede,87,61,70.11494252873563
P Molkenboer,80,56,70.0
Dilara Akter,60,42,70.0
TLW Cooper,73,51,69.86301369863014
AF Buurman,73,51,69.86301369863014
Mudassar Bukhari,73,51,69.86301369863014
PW Borren,73,51,69.86301369863014
ES Szwarczynski,73,51,69.86301369863014
TN de Grooth,73,51,69.86301369863014
RN ten Doeschate,73,51,69.86301369863014
AN Kervezee,73,51,69.86301369863014
AM Samad,43,30,69.76744186046511
CC Dalton,79,55,69.62025316455696
Shathira Jakir,46,32,69.56521739130434
Sultana Yesmin,46,32,69.56521739130434
BN Cooper,88,61,69.31818181818181
TP Visee,88,61,69.31818181818181
C McAuslan,13,9,69.23076923076923
Nizakat Khan,16,11,68.75
Babar Hayat,16,11,68.75
C Carter,16,11,68.75
Shahid Wasif,16,11,68.75
Waqas Khan,16,11,68.75
RH Scholte,51,35,68.62745098039215
JS Ababu,35,24,68.57142857142857
SA Engelbrecht,89,61,68.53932584269663
TJ Heggelman,69,47,68.1159420289855
VAB Tewarie,69,47,68.1159420289855
MR Swart,69,47,68.1159420289855
N Kruger,69,47,68.1159420289855
M Commins,94,64,68.08510638297872
MWA van Nierop,50,34,68.0
NRJ Croes,90,61,67.77777777777777
Vikramjit Singh,90,61,67.77777777777777
SA Edwards,90,61,67.77777777777777
MP O'Dowd,90,61,67.77777777777777
Shariz Ahmad,90,61,67.77777777777777
W Barresi,90,61,67.77777777777777
K Klein,90,61,67.77777777777777
M Levitt,90,61,67.77777777777777
J Anderson,124,84,67.74193548387096
SP Terry,124,84,67.74193548387096
D Prins,65,44,67.6923076923077
LM Hoitink,65,44,67.6923076923077
VCE Wattenberg,65,44,67.6923076923077
J Pashley,65,44,67.6923076923077
ML Patel,34,23,67.6470588235294
Ehsanul Haque,108,73,67.5925925925926
MA Ouma,37,25,67.56756756756756
ST Doheny,117,79,67.52136752136752
GJ McCarter,120,81,67.5
PA Desai,46,31,67.3913043478261
NR Kumar,46,31,67.3913043478261
GEF Barnett,46,31,67.3913043478261
CK Hooper,46,31,67.3913043478261
U Bhatti,46,31,67.3913043478261
AF Sattaur,49,33,67.34693877551021
A Bagai,49,33,67.34693877551021
NA de Groot,49,33,67.34693877551021
S Thuraisingam,49,33,67.34693877551021
DR Chumney,49,33,67.34693877551021
IS Billcliff,49,33,67.34693877551021
A Codrington,49,33,67.34693877551021
JM Davison,49,33,67.34693877551021
JV Harris,49,33,67.34693877551021
I Maraj,49,33,67.34693877551021
CH van Koolwijk,55,37,67.27272727272727
J Gray,110,74,67.27272727272727
JC Carroll,61,41,67.21311475409836
MT Herbert,61,41,67.21311475409836
JA Whelan,61,41,67.21311475409836
NJ Coffey,61,41,67.21311475409836
CM Beggs,61,41,67.21311475409836
HE Whelan,61,41,67.21311475409836
J van Vliet,67,45,67.16417910447761
NA Rock,115,77,66.95652173913044
Sumaiya Akter,115,77,66.95652173913044
GJ Delany,130,87,66.92307692307692
A Valthapa,15,10,66.66666666666667
R Gunasekera,48,32,66.66666666666667
Waqas Barkat,15,10,66.66666666666667
H Patel,48,32,66.66666666666667
SW Poynter,129,86,66.66666666666667
CR Pagydyala,3,2,66.66666666666667
AA Obanda,39,26,66.66666666666667
Ghulam Shabber,93,62,66.66666666666667
SR Waters,33,22,66.66666666666667
ADJ Pitcher,6,4,66.66666666666667
ZE Surkari,48,32,66.66666666666667
T Mishra,39,26,66.66666666666667
BP Kruger,21,14,66.66666666666667
DO Obuya,39,26,66.66666666666667
DI Allan,39,26,66.66666666666667
Fahad Nawaz,93,62,66.66666666666667
JNK Shannon,21,14,66.66666666666667
MS Chapman,15,10,66.66666666666667
Jamaluddin Ahmed,33,22,66.66666666666667
KD Shah,15,10,66.66666666666667
A van der Merwe,140,93,66.42857142857143
MJ Fourie,128,85,66.40625
RK Whelan,128,85,66.40625
Talha Jubair,95,63,66.3157894736842
RN Bhatia,92,61,66.30434782608695
V Sukumaran,92,61,66.30434782608695
Muhammad Jawadullah,92,61,66.30434782608695
Waheed Ahmed,86,57,66.27906976744185
MF Kendal,139,92,66.18705035971223
CJ Metcalfe,139,92,66.18705035971223
RA Lewis,139,92,66.18705035971223
SM Kavanagh,136,90,66.17647058823529
N Dutta,50,33,66.0
M Spoors,50,33,66.0
Ravinderpal Singh,50,33,66.0
Kaleem Sana,50,33,66.0
L Sreekumar,97,64,65.97938144329896
SP Patil,97,64,65.97938144329896
Shaiman Anwar,97,64,65.97938144329896
Abdul Shakoor,97,64,65.97938144329896
Amjad Ali,97,64,65.97938144329896
Nuzhat Tasnia,141,93,65.95744680851064
Kashif Daud,94,62,65.95744680851064
A Sharafu,94,62,65.95744680851064
TJG Pringle,41,27,65.85365853658537
PJ Ongondo,38,25,65.78947368421052
KO Otieno,38,25,65.78947368421052
HS Modi,38,25,65.78947368421052
BJ Patel,38,25,65.78947368421052
TM Odoyo,38,25,65.78947368421052
RD Shah,38,25,65.78947368421052
MO Odumbe,38,25,65.78947368421052
SO Tikolo,38,25,65.78947368421052
Asif Khan,99,65,65.65656565656566
Ali Naseer,99,65,65.65656565656566
KP Meiyappan,99,65,65.65656565656566
Waseem Muhammad,99,65,65.65656565656566
Junaid Siddique,99,65,65.65656565656566
A Sharma,99,65,65.65656565656566
Aayan Afzal Khan,99,65,65.65656565656566
Rameez Shahzad,99,65,65.65656565656566
V Aravind,99,65,65.65656565656566
Zahoor Khan,99,65,65.65656565656566
Rohan Mustafa,99,65,65.65656565656566
RL Bhudia,32,21,65.625
R Chopra,96,63,65.625
T Suri,96,63,65.625
Saqlain Haider,90,59,65.55555555555556
E Otieno,29,19,65.51724137931035
IA Karim,29,19,65.51724137931035
CP Rizwan,98,64,65.3061224489796
Muhammad Usman,95,62,65.26315789473684
Chirag Suri,95,62,65.26315789473684
J Figy John,95,62,65.26315789473684
Adnan Mufti,89,58,65.1685393258427
WK McCallan,152,99,65.13157894736842
KED Carroll,152,99,65.13157894736842
AC Botha,152,99,65.13157894736842
D Langford-Smith,152,99,65.13157894736842
JP Bray,152,99,65.13157894736842
Sultan Ahmed,83,54,65.06024096385542
Mohammad Boota,83,54,65.06024096385542
MJ Humphreys,143,93,65.03496503496504
F Hand,143,93,65.03496503496504
CNIM Joyce,160,104,65.0
MV Waldron,160,104,65.0
CMA Shillington,160,104,65.0
RA Rolfe,160,104,65.0
Simi Singh,151,98,64.90066225165563
N Fernandes,74,48,64.86486486486487
Alawi Shukri,74,48,64.86486486486487
Rony Talukdar,145,94,64.82758620689656
Mrittunjoy Chowdhury,145,94,64.82758620689656
PKD Chase,159,103,64.77987421383648
SR Thompson,159,103,64.77987421383648
NS Dhaliwal,51,33,64.70588235294117
A Johnson,51,33,64.70588235294117
SA Wijeratne,51,33,64.70588235294117
Saad Bin Zafar,51,33,64.70588235294117
S Movva,51,33,64.70588235294117
Pargat Singh,51,33,64.70588235294117
U Raymond-Hoey,153,99,64.70588235294117
NR Kirton,51,33,64.70588235294117
H Thaker,51,33,64.70588235294117
S Forbes,150,97,64.66666666666667
NJ O'Brien,161,104,64.59627329192547
AD Poynter,144,93,64.58333333333333
RD McCann,144,93,64.58333333333333
J Da Silva,79,51,64.55696202531645
AM McCarthy,79,51,64.55696202531645
CK Holder,79,51,64.55696202531645
JA McCollum,155,100,64.51612903225806
IPP Batuwitarachchi,76,49,64.47368421052632
V Shetty,76,49,64.47368421052632
Hasibul Hossain,239,154,64.43514644351464
PG Gillespie,149,96,64.42953020134229
DI Joyce,149,96,64.42953020134229
CE Coulter Reilly,146,94,64.38356164383562
Mosharraf Hossain,247,159,64.37246963562752
Shaila Sharmin,272,175,64.33823529411765
Ayasha Rahman,157,101,64.3312101910828
R Stokell,157,101,64.3312101910828
Moniruzzaman,168,108,64.28571428571429
GH Lewis,162,104,64.19753086419753
O Prendergast,162,104,64.19753086419753
A Hunter,162,104,64.19753086419753
Jannatul Ferdus,162,104,64.19753086419753
Nahid Rana,167,107,64.07185628742515
Jubair Hossain,281,180,64.05693950177935
Nazimuddin,289,185,64.01384083044982
Dhiman Ghosh,291,186,63.91752577319588
Fayyaz Ahmed,72,46,63.888888888888886
Ebadat Hossain,282,180,63.829787234042556
Nafees Iqbal,293,187,63.822525597269625
A Balbirnie,163,104,63.80368098159509
HT Tector,163,104,63.80368098159509
L Tucker,163,104,63.80368098159509
Rumana Ahmed,301,192,63.78737541528239
Lata Mondal,301,192,63.78737541528239
JN Hamilton,218,139,63.76146788990825
Sharmin Sultana,295,188,63.728813559322035
Sanjida Islam,295,188,63.728813559322035
Shamim Hossain,292,186,63.6986301369863
Tanzim Hasan Sakib,292,186,63.6986301369863
Shamsur Rahman,303,193,63.696369636963695
MMA Jonkman,11,7,63.63636363636363
RR Ramdass,203,129,63.54679802955665
EC Joyce,164,104,63.41463414634146
PR Stirling,164,104,63.41463414634146
AR Cusack,164,104,63.41463414634146
WB Rankin,164,104,63.41463414634146
JF Mooney,164,104,63.41463414634146
KJ O'Brien,164,104,63.41463414634146
AR White,164,104,63.41463414634146
DT Johnston,164,104,63.41463414634146
WTS Porterfield,164,104,63.41463414634146
GC Wilson,164,104,63.41463414634146
Faisal Hossain,306,194,63.39869281045752
Nurul Hasan,207,131,63.28502415458937
Tanbir Hayder,207,131,63.28502415458937
Shuvagata Hom,204,129,63.23529411764706
Jaker Ali,190,120,63.1578947368421
F Walters,247,156,63.1578947368421
BP Nash,244,154,63.114754098360656
Yasir Ali Chowdhury,312,196,62.82051282051282
AA Jangoo,241,151,62.655601659751035
J Blackwood,315,197,62.53968253968254
Salman Faris,8,5,62.5
Fariha Trisna,314,196,62.4203821656051
D Parashar,69,43,62.31884057971015
RO Hinds,318,198,62.264150943396224
SC Joseph,338,210,62.1301775147929
Fazle Mahmud,319,198,62.06896551724138
SO Dowrich,71,44,61.971830985915496
CP Jack,331,205,61.933534743202415
PY Lavine,331,205,61.933534743202415
DP Hyatt,328,203,61.890243902439025
Mohammad Naim,322,199,61.80124223602485
JD Campbell,303,187,61.71617161716171
A Munisar,282,174,61.702127659574465
JW Ogle-Thomas,308,190,61.688311688311686
JB Nero,308,190,61.688311688311686
JO Holder,429,264,61.53846153846154
KA Pollard,429,264,61.53846153846154
E Lewis,429,264,61.53846153846154
SO Hetmyer,429,264,61.53846153846154
N Pooran,429,264,61.53846153846154
BA Parchment,408,251,61.51960784313726
RS Morton,408,251,61.51960784313726
PA Browne,408,251,61.51960784313726
S Chattergoon,408,251,61.51960784313726
Kyshona A Knight,428,263,61.44859813084112
CN Nation,428,263,61.44859813084112
Q Joseph,428,263,61.44859813084112
MR Aguilleira,428,263,61.44859813084112
R Boyce,428,263,61.44859813084112
HK Matthews,428,263,61.44859813084112
DJS Dottin,428,263,61.44859813084112
ASS Fletcher,428,263,61.44859813084112
SF Daley,428,263,61.44859813084112
A Mohammed,428,263,61.44859813084112
KA Hope,402,247,61.44278606965174
CAK Walton,402,247,61.44278606965174
AJ Hosein,407,250,61.42506142506142
JN Mohammed,425,261,61.411764705882355
R Powell,425,261,61.411764705882355
D Bishoo,425,261,61.411764705882355
AR Nurse,425,261,61.411764705882355
Afif Hossain,329,202,61.39817629179331
Nazmul Hossain Shanto,329,202,61.39817629179331
BA King,430,264,61.395348837209305
SD Hope,430,264,61.395348837209305
KU Carty,430,264,61.395348837209305
J Charles,430,264,61.395348837209305
SSJ Brooks,430,264,61.395348837209305
A Martin,422,259,61.37440758293839
KA Edwards,422,259,61.37440758293839
CS Baugh,422,259,61.37440758293839
R Rampaul,422,259,61.37440758293839
SW Ambris,409,251,61.36919315403423
DM Bravo,427,262,61.35831381733021
KAJ Roach,427,262,61.35831381733021
KOA Powell,427,262,61.35831381733021
DJG Sammy,427,262,61.35831381733021
DC Thomas,427,262,61.35831381733021
SP Narine,427,262,61.35831381733021
RR Sarwan,427,262,61.35831381733021
CH Gayle,427,262,61.35831381733021
DJ Bravo,427,262,61.35831381733021
TM Dowlin,401,246,61.34663341645885
FL Reifer,401,246,61.34663341645885
DM Richards,401,246,61.34663341645885
BC Lara,424,260,61.320754716981135
M Dillon,424,260,61.320754716981135
S Chanderpaul,424,260,61.320754716981135
IDR Bradshaw,424,260,61.320754716981135
PT Collins,424,260,61.320754716981135
CO Browne,424,260,61.320754716981135
WW Hinds,424,260,61.320754716981135
D Ganga,323,198,61.30030959752322
Akram Khan,346,212,61.27167630057804
Khaled Mashud,346,212,61.27167630057804
Tushar Imran,346,212,61.27167630057804
Al Sahariar,346,212,61.27167630057804
AD Russell,426,261,61.267605633802816
MN Samuels,426,261,61.267605633802816
LMP Simmons,426,261,61.267605633802816
DR Smith,426,261,61.267605633802816
D Ramdin,426,261,61.267605633802816
AB Barath,400,245,61.25
O Thomas,418,256,61.24401913875598
CR Brathwaite,418,256,61.24401913875598
Sharmin Akhter,325,199,61.23076923076923
S Mostary,325,199,61.23076923076923
Kycia A Knight,423,259,61.22931442080378
J Glasgow,392,240,61.224489795918366
M Mangru,392,240,61.224489795918366
SA Campbelle,420,257,61.19047619047619
Hannan Sarkar,340,208,61.1764705882353
SE Findlay,394,241,61.16751269035533
A Athanaze,412,252,61.16504854368932
Mahedi Hasan,327,200,61.162079510703364
Khaled Ahmed,327,200,61.162079510703364
Zakir Hasan,327,200,61.162079510703364
Tanzid Hasan,327,200,61.162079510703364
Towhid Hridoy,327,200,61.162079510703364
Shoriful Islam,327,200,61.162079510703364
Nasum Ahmed,327,200,61.162079510703364
Hasan Mahmud,327,200,61.162079510703364
Mahmudullah,345,211,61.15942028985507
Mushfiqur Rahim,345,211,61.15942028985507
Imrul Kayes,345,211,61.15942028985507
Shahriar Nafees,345,211,61.15942028985507
Tamim Iqbal,345,211,61.15942028985507
LR Johnson,399,244,61.152882205513784
Z James,417,255,61.15107913669065
RS Williams,417,255,61.15107913669065
S Gajnabi,417,255,61.15107913669065
CA Henry,417,255,61.15107913669065
AA Alleyne,417,255,61.15107913669065
CS Fraser,417,255,61.15107913669065
ADS Fletcher,404,247,61.13861386138614
RT Crandon,355,217,61.12676056338028
GC Tonge,355,217,61.12676056338028
DS Smith,414,253,61.111111111111114
TL Best,416,254,61.05769230769231
Aftab Ahmed,344,210,61.04651162790697
AK Peters,390,238,61.02564102564103
C Hemraj,413,252,61.016949152542374
TJ Bishop,377,230,61.0079575596817
Jahurul Islam,341,208,60.997067448680355
Mominul Haque,341,208,60.997067448680355
N Deonarine,369,225,60.97560975609756
Shorna Akter,333,203,60.96096096096096
Murshida Khatun,333,203,60.96096096096096
Nigar Sultana,333,203,60.96096096096096
Fargana Hoque,333,203,60.96096096096096
Shamima Sultana,333,203,60.96096096096096
Javed Omar,343,209,60.932944606414
Syed Rasel,343,209,60.932944606414
Habibul Bashar,343,209,60.932944606414
Mashrafe Mortaza,343,209,60.932944606414
SE Rutherford,358,218,60.89385474860335
