player_name,Total_Wickets_Taken,Total_Runs_Conceded,Runs_Conceded_Per_Wicket
NB Mahwire,8,297,37.125
S Dhakal,4,149,37.25
YK Pathan,37,1379,37.270270270270274
Vikramjit Singh,7,261,37.285714285714285
C Green,21,788,37.523809523809526
S Matsikenyeri,15,563,37.53333333333333
RS Bopara,41,1546,37.707317073170735
Asmavia Iqbal,27,1019,37.74074074074074
ID Blackwell,15,567,37.8
SZ Thakor,10,378,37.8
S Bau,13,492,37.84615384615385
Shafali Verma,2,76,38.0
D Soraine,1,38,38.0
JM Vince,1,38,38.0
H Hiri,3,114,38.0
J Patraj,2,76,38.0
Sania Khan,2,76,38.0
M Vijay,1,38,38.0
AC Jayangani,34,1295,38.088235294117645
MA Aponso,10,381,38.1
GC Tonge,6,229,38.166666666666664
SF Mire,11,420,38.18181818181818
AJ Ireland,16,612,38.25
NG Smith,6,230,38.333333333333336
MD Shanaka,22,844,38.36363636363637
AM Hardie,7,269,38.42857142857143
K Mahato,2,77,38.5
BMAJ Mendis,31,1199,38.67741935483871
LM Jongwe,28,1083,38.67857142857143
RW Staple,2,78,39.0
S Immadi,4,156,39.0
Diana Baig,43,1683,39.13953488372093
SC Ganguly,22,864,39.27272727272727
G Kodali,7,275,39.285714285714285
CJA Amini,33,1298,39.333333333333336
A van der Merwe,2,79,39.5
PLS Gamage,10,397,39.7
HN Ya France,14,556,39.714285714285715
CS Fraser,9,358,39.77777777777778
AC Voges,6,240,40.0
Mohammad Nawaz,21,843,40.142857142857146
CG Williams,5,201,40.2
E Chigumbura,88,3551,40.35227272727273
Khushdil Shah,3,122,40.666666666666664
RP Arnold,8,326,40.75
PKD Chase,19,776,40.8421052631579
Iram Javed,1,41,41.0
RT Lyons,1,41,41.0
KHRK Fernando,1,41,41.0
R Klein,12,496,41.333333333333336
E Schiferli,8,331,41.375
Agha Salman,15,622,41.46666666666667
Bismah Maroof,12,498,41.5
HDRS Silva,2,83,41.5
KO Meth,10,416,41.6
GD Phillips,13,541,41.61538461538461
T Kamungozi,12,500,41.666666666666664
JP Duminy,74,3094,41.810810810810814
TMM Newton,6,251,41.833333333333336
KDU Prabodhani,27,1130,41.851851851851855
HASD Siriwardene,32,1341,41.90625
I Udana,22,928,42.18181818181818
TM Head,25,1062,42.48
AT Rayudu,3,128,42.666666666666664
JN Mohammed,8,342,42.75
Shahbaz Ahmed,3,129,43.0
Nahid Rana,2,86,43.0
MP Stoinis,48,2067,43.0625
KM Dabengwa,15,647,43.13333333333333
RD Berrington,15,647,43.13333333333333
NJ Astle,8,346,43.25
TM Dilshan,97,4197,43.2680412371134
Mahmudullah,83,3605,43.433734939759034
SK Raina,42,1832,43.61904761904762
Nasum Ahmed,14,613,43.785714285714285
MO Odumbe,7,307,43.857142857142854
SW Bates,25,1098,43.92
MM Lanning,1,44,44.0
Imad Wasim,44,1936,44.0
J Mubarak,1,44,44.0
RR Rossouw,1,44,44.0
D Bishoo,38,1675,44.078947368421055
AC Agar,22,970,44.09090909090909
GJ Maxwell,78,3441,44.11538461538461
AB Dinda,14,618,44.142857142857146
DJG Sammy,87,3842,44.160919540229884
Mukesh Kumar,5,221,44.2
MM Ali,119,5303,44.563025210084035
MM Penfold,10,447,44.7
MN Samuels,66,2952,44.72727272727273
NE Farrant,4,179,44.75
F Hand,1,45,45.0
Tanvir Ahmed,1,45,45.0
N Mlaba,24,1083,45.125
Muhammad Jawadullah,7,316,45.142857142857146
AC Cummins,4,181,45.25
SS Pathirana,16,724,45.25
FC Jonas,18,820,45.55555555555556
Haris Sohail,13,593,45.61538461538461
AR Nurse,44,2009,45.65909090909091
SF Daley,9,411,45.666666666666664
JWM Dalrymple,15,686,45.733333333333334
A Sharma,4,183,45.75
WG Jacks,5,229,45.8
SR Tendulkar,31,1420,45.806451612903224
CJ Chibhabha,30,1379,45.96666666666667
KP Pietersen,8,368,46.0
K Birkenstock,5,230,46.0
HDPK Dharmasena,6,277,46.166666666666664
B Ward,4,186,46.5
AM Samad,2,93,46.5
GH Lewis,8,373,46.625
JI de Villiers,3,140,46.666666666666664
TL Chivanga,4,187,46.75
WP Masakadza,22,1030,46.81818181818182
MD Gunathilaka,8,375,46.875
Javeria Rauf,1,47,47.0
RR Hendricks,1,47,47.0
TLW Cooper,6,282,47.0
PR Stirling,26,1227,47.19230769230769
G Onions,4,189,47.25
M Labuschagne,6,284,47.333333333333336
EC Rainsford,17,805,47.35294117647059
MP Vaughan,9,429,47.666666666666664
BMSM Kumari,18,872,48.44444444444444
P Khadka,4,194,48.5
RG Sharma,11,538,48.90909090909091
Joginder Sharma,1,50,50.0
E Mbofana,5,250,50.0
MT Chinouya,1,50,50.0
TS Nethula,5,250,50.0
JL Pattinson,13,652,50.15384615384615
D Ravu,10,503,50.3
H Patel,2,102,51.0
L Siaka,3,153,51.0
CP Rizwan,1,51,51.0
K Gowtham,1,51,51.0
BJ Hodge,1,51,51.0
H Karunaratne,2,103,51.5
AJ Finch,5,259,51.8
LC Romero,1,52,52.0
RK Whelan,2,105,52.5
MH Yardy,20,1052,52.6
S Prasanna,33,1742,52.78787878787879
K Phillip,3,159,53.0
H Masakadza,22,1174,53.36363636363637
LJ Wright,17,910,53.529411764705884
CJ Metcalfe,5,268,53.6
SE Rutherford,3,161,53.666666666666664
C Munro,9,483,53.666666666666664
Azhar Mahmood,6,324,54.0
Faisal Hossain,1,54,54.0
RD Steede,1,54,54.0
PM Liyanagamage,5,271,54.2
CT Mutombodzi,5,271,54.2
DR Brown,3,163,54.333333333333336
SA Millanta,3,164,54.666666666666664
O Bell,3,164,54.666666666666664
R MacDonald-Gay,1,55,55.0
Qaiser Ali,1,55,55.0
MN Waller,9,497,55.22222222222222
IM Vaghela,4,221,55.25
Zahid Mahmood,4,221,55.25
MW Machan,4,223,55.75
NE Bonner,1,56,56.0
DO Leicher,1,56,56.0
T Granger,2,112,56.0
SC Meaker,2,113,56.5
Mosaddek Hossain,16,904,56.5
Ehsan Adil,4,229,57.25
F Behardien,12,694,57.833333333333336
MR Swart,2,116,58.0
IJL Trott,3,174,58.0
D Gamage,1,59,59.0
Nazmul Hossain Shanto,1,59,59.0
MEK Hussey,4,237,59.25
C Prathyusha,1,60,60.0
J Yadav,1,61,61.0
KE Broadmore,1,61,61.0
Zulfiqar Babar,4,247,61.75
Aliya Riaz,13,806,62.0
Marina Iqbal,1,62,62.0
GJ Delany,6,374,62.333333333333336
ML Nkala,5,315,63.0
Bilawal Bhatti,7,448,64.0
CA Reid,1,64,64.0
Lata Mondal,2,129,64.5
A Ashok,1,65,65.0
Azhar Ali,4,262,65.5
Shoaib Khan,2,131,65.5
Kainat Imtiaz,7,465,66.42857142857143
V Sibanda,4,267,66.75
N Shangase,6,404,67.33333333333333
JW Wilson,1,68,68.0
TJ Friend,1,69,69.0
BRM Taylor,4,279,69.75
B Fernando,2,140,70.0
I van der Woning,2,140,70.0
Ahmed Shehzad,2,140,70.0
HR Johnson,1,70,70.0
H Carlyon,2,141,70.5
L Cheatle,2,142,71.0
AK Peters,1,72,72.0
SG Borthwick,1,72,72.0
S Nitschke,1,73,73.0
BR Dorey,2,147,73.5
Aarif Sheikh,8,589,73.625
PW Borren,6,442,73.66666666666667
RS Gavaskar,1,74,74.0
HT Tector,2,149,74.5
ME Trescothick,2,149,74.5
IH Romaine,1,75,75.0
JS Ababu,1,75,75.0
NND de Silva,3,228,76.0
DR Martyn,1,78,78.0
HL Baker,1,78,78.0
Shaila Sharmin,1,79,79.0
CS MacLeod,8,635,79.375
MG Neser,3,239,79.66666666666667
VS Solanki,1,80,80.0
LP van Troost,1,82,82.0
R Malhotra,1,82,82.0
N M'shangwe,2,165,82.5
M Levitt,1,83,83.0
PRCS Kumarihami,3,255,85.0
W Mwayenga,1,86,86.0
R Powell,3,261,87.0
SHT Kandamby,2,175,87.5
N Dutta,2,177,88.5
CK Hooper,1,89,89.0
D Devnarain,1,91,91.0
N Deonarine,4,368,92.0
SM Kavanagh,1,92,92.0
SP de Alwis,1,93,93.0
Shahid Ahmadzai,1,94,94.0
Waheed Ahmed,1,94,94.0
Aftab Ahmed,4,379,94.75
JP Greaves,1,95,95.0
F du Plessis,2,191,95.5
V Kohli,7,681,97.28571428571429
JL Denly,1,101,101.0
SACA King,2,204,102.0
TJG Pringle,2,222,111.0
Fakhar Zaman,1,112,112.0
DE Budge,1,112,112.0
KH Pandya,2,224,112.0
Sabbir Rahman,3,337,112.33333333333333
RN Bhatia,3,337,112.33333333333333
CK Kapugedera,2,226,113.0
MJ Humphreys,1,113,113.0
Raza-ur-Rehman,1,114,114.0
Hasibul Hossain,1,121,121.0
Mosharraf Hossain,1,124,124.0
MP O'Dowd,1,129,129.0
KJ Coetzer,1,132,132.0
BB Seebaran,1,132,132.0
A Bosch,1,134,134.0
MW Short,1,162,162.0
Yasir Arafat,2,327,163.5
LMP Simmons,1,172,172.0
PJC Hoffmann,1,177,177.0
TCB Fernando,1,182,182.0
PRP Boissevain,1,192,192.0
Younis Khan,1,217,217.0
KC Sangakkara,0,0,
LRPL Taylor,0,35,
HM Amla,0,0,
Tamim Iqbal,0,13,
Mushfiqur Rahim,0,0,
RT Ponting,0,0,
EJG Morgan,0,0,
S Dhawan,0,0,
Q de Kock,0,0,
DA Warner,0,8,
WU Tharanga,0,0,
Babar Azam,0,0,
BB McCullum,0,0,
JC Buttler,0,0,
SD Hope,0,0,
G Gambhir,0,13,
Misbah-ul-Haq,0,30,
DA Miller,0,0,
AC Gilchrist,0,0,
JJ Roy,0,0,
TWM Latham,0,0,
L Wolvaardt,0,0,
ML Hayden,0,0,
TT Beaumont,0,0,
BKG Mendis,0,28,
S Chanderpaul,0,20,
HH Gibbs,0,0,
AJ Strauss,0,3,
JM Bairstow,0,0,
LD Chandimal,0,0,
R Dravid,0,0,
AN Cook,0,0,
MDKJ Perera,0,0,
Umar Akmal,0,0,
GJ Bailey,0,0,
DM Bravo,0,0,
BJ Haddin,0,0,
M Raj,0,0,
AM Rahane,0,0,
Imam-ul-Haq,0,0,
T Taibu,0,20,
CR Ervine,0,0,
KL Rahul,0,0,
AJ Healy,0,0,
Kamran Akmal,0,0,
WTS Porterfield,0,0,
SE Marsh,0,0,
MV Boucher,0,0,
BL Mooney,0,0,
SS Iyer,0,39,
AD Hales,0,0,
Shubman Gill,0,25,
Sarfraz Ahmed,0,15,
Mohammad Rizwan,0,0,
