player_name,total_runs,Strike_Rate
S Prasanna,421,91.52
SMA Priyanjan,420,78.8
PW Borren,413,89.2
FC Wilson,412,93.42
V Krishnamurthy,410,86.32
RD Shah,407,62.91
Ayesha Zafar,407,53.27
Simi Singh,406,78.53
RMVD Gunaratne,401,69.98
Ali Naseer,396,99.25
EL Lamb,396,83.72
T Mishra,395,70.04
MAA Sanjeewani,395,56.51
AB Barath,394,62.64
MW Machan,393,79.07
Suraj Kumar,392,74.81
PA de Silva,390,80.08
CM McBride,386,70.44
MA Jones,385,66.15
CS Baugh,382,67.85
T de Zorzi,381,95.49
J Gumbie,379,65.23
XM Marshall,379,55.98
M Mupachikwa,376,55.7
Asif Ali,375,118.3
PJ Forrest,368,63.78
MS Sinclair,367,64.84
DW Steyn,365,61.66
Tanzid Hasan,364,101.11
KM Dabengwa,364,57.69
SP Narine,363,79.78
DT Johnston,361,76.32
CB Wishart,361,72.78
DG Brownlie,361,72.2
Naseem Khushi,360,107.46
MDN Hansika,357,47.73
A Bosch,355,73.8
J Nkomo,354,64.01
MDT Kamini,353,63.49
R Trumpelmann,350,79.37
SJ Myburgh,347,74.46
Rumana Ahmed,346,50.66
AA Alleyne,341,60.04
LMM Tahuhu,340,86.08
NV Knight,339,70.19
M Vijay,339,65.7
B Cooper,339,58.35
R Rampaul,338,75.11
Rashid Latif,335,82.11
SS Pathirana,332,83.21
A Flower,332,70.34
HM Rowe,332,66.27
I Kaia,332,63.85
HP Tillakaratne,332,59.07
KA Edwards,331,64.9
D Khanal,329,68.26
Adnan Mufti,328,79.42
SS Weerakkody,328,62.96
SA Engelbrecht,327,63.01
CN Ackermann,326,75.12
MH Yardy,326,66.53
SJ Baard,326,57.5
Sidra Nawaz,325,48.8
MO Odumbe,324,89.26
S Movva,324,67.22
A Sharma,323,69.02
MR Aguilleira,323,54.01
AC Agar,322,80.5
MR Meshram,322,56.39
DA Gunawardene,322,54.48
AK Sah,320,87.67
R Mutumbami,319,71.36
JP Kotze,316,70.38
Washington Sundar,315,81.61
LM Jongwe,315,79.15
D la Cock,313,65.89
KAJ Roach,308,50.49
A Athanaze,306,80.95
ADS Fletcher,305,60.64
Shamima Sultana,304,56.3
TK Curran,303,91.27
DO Obuya,302,51.8
LE Bosman,301,94.65
KE Bryce,301,84.08
AR White,301,60.44
PA Nixon,297,84.62
NS Dhaliwal,295,56.41
L Winfield-Hill,294,62.03
DLS van Bunge,293,56.45
C Brits,292,69.36
SMSM Senanayake,290,90.34
MV Waldron,290,45.38
B de Leede,289,66.44
AJ Stewart,287,70.17
MK Tiwary,287,69.66
AF Giles,286,73.33
DN Wellalage,285,75.0
Saud Shakeel,283,86.28
A Capsey,283,71.65
PRCS Kumarihami,283,37.04
Kashif Daud,282,88.68
ASS Fletcher,282,64.98
S Dhaniram,281,88.92
S Chattergoon,281,63.72
ES Szwarczynski,281,58.3
CS Mugeri-Tiripano,280,74.07
S Randiv,280,71.79
Hannan Sarkar,280,52.14
SK Patel,278,73.35
MD Dai,277,75.48
S Horley,276,77.53
Moin Khan,274,86.16
DT Christian,273,87.22
PS Punia,273,54.27
S Ismail,273,49.55
GH Worker,272,69.92
Umar Amin,271,66.42
MJ Henry,268,91.16
G Toka,268,54.03
TA Blundell,266,86.08
Shamsur Rahman,266,74.51
B Bezuidenhout,266,71.89
AJ Hosein,266,70.93
AC Botha,265,63.25
B Bhandari,265,59.82
AR Cusack,264,62.56
LA Marsh,264,56.77
Diana Baig,262,68.95
M Musonda,262,64.69
Sadaf Shamas,262,52.82
Taufeeq Umar,262,51.98
R Chopra,260,68.97
UDU Chandana,260,66.16
IDR Bradshaw,259,61.23
A Sharafu,257,66.75
GE Plimmer,256,62.44
R Gunasekera,255,55.08
P Khadka,252,79.5
C Madande,251,71.1
BM Scholtz,251,66.05
Tushar Imran,250,52.41
KO Otieno,250,42.02
Amjad Ali,249,64.34
JD Campbell,248,113.76
R Stokell,247,58.67
SM Davies,244,102.09
N Chaiwai,244,61.31
ML Udawatte,243,66.21
R Rijke,238,70.21
DC Thomas,238,62.8
Musa Ahmed,238,62.8
HN Ya France,237,80.89
DE Budge,237,76.21
C Tear,237,66.95
D Dhingra,237,65.47
GJ Hopkins,236,74.45
Abid Ali,234,91.05
JP Bray,234,63.07
AM Tribe,233,75.16
NFI McCallum,233,63.66
K Birkenstock,233,53.2
JM Kerr,232,105.94
T Ruma,232,63.04
HMD Rasangika,232,58.0
A Mohammed,232,40.85
NY McLean,231,63.81
STR Binny,230,91.27
TM Dowlin,228,62.98
CNIM Joyce,228,46.25
I Udana,227,96.19
Jahurul Islam,226,69.54
AM Samad,226,59.16
Asmavia Iqbal,225,52.33
S Mostary,224,57.29
F Overdijk,224,47.56
T Duffin,224,45.53
BR McDermott,223,79.64
IS Billcliff,223,57.33
P Mustard,219,89.75
DR Chumney,219,65.18
T Stubbs,218,93.97
Saeed Anwar,218,68.55
GJ Delany,217,95.18
Saad Bin Zafar,217,72.58
Iram Javed,216,56.84
JM Fields,215,64.56
T Marumani,214,63.31
DJM Short,211,77.01
TK Musakanda,210,87.5
NRJ Croes,207,67.87
Khurram Manzoor,206,63.78
HS Modi,205,44.86
WP Masakadza,204,59.13
Khushdil Shah,200,93.46
DEM Carter,200,71.17
S Sriharsha,200,67.8
Z Crawley,199,95.67
Saleem Elahi,199,64.82
IA Karim,196,82.7
M Levitt,196,79.35
MW Short,195,98.98
Kuldeep Yadav,195,47.45
V Sukumaran,194,61.78
Mohammad Nawaz (3),193,87.33
PJ Ingram,193,80.75
JH Davey,193,61.86
AJ Turner,192,116.36
GB Brent,192,62.95
SA Wijeratne,191,69.45
H Karunaratne,190,45.24
PP Shaw,189,108.62
A Saud,189,47.13
RD Rickelton,188,88.26
G Kirsten,186,81.58
BB Chari,186,45.15
CJ Jordan,184,84.4
S Rana,184,81.42
F Mutizwa,183,64.89
Sohag Gazi,182,87.92
ND McKenzie,182,70.0
RM Haq,181,51.13
CMA Shillington,179,89.95
Q Joseph,179,70.2
DM Richards,179,68.85
I Ranaweera,179,38.25
SR Thompson,178,89.9
JA McCollum,178,72.36
B Zuiderent,178,48.37
JAD Lawrenson,177,82.33
NR Kumar,177,57.84
H Patel,176,88.89
IC Gaze,176,59.66
S Forbes,175,51.17
IH Romaine,175,48.61
Raza-ur-Rehman,174,80.93
NW Bracken,174,65.66
G Voll,173,105.49
Mohammad Nawaz,173,79.0
Mohammad Boota,173,72.08
GM Hamilton,173,56.72
SJ Bryce,171,66.54
Najiha Alvi,170,62.73
Lata Mondal,170,48.71
TSS Mackintosh,169,83.25
AM Peterson,167,79.15
JG Bethell,167,78.77
AR Adams,165,107.14
Nurul Hasan,165,91.16
MJ Lumb,165,80.1
ST Doheny,165,60.0
KS Lokuarachchi,164,75.58
D Bishoo,164,61.89
L Klusener,163,104.49
Shan Masood,163,67.36
KP Meiyappan,163,47.66
Y Venugopal Rao,161,62.65
FRJ Coleman,160,72.73
SJ McGlashan,160,68.38
P Siaka,160,68.09
Akshay Homraj,159,69.13
J Kila,159,63.86
Shariz Ahmad,159,54.64
AGS Gous,157,110.56
Imran Tahir,157,67.38
CJO Smith,157,65.42
T Kaitano,157,59.47
Nasum Ahmed,156,87.64
CMW Read,156,70.59
SRH Curtis,156,66.67
A Kolan,155,52.19
C Zhuwao,154,112.41
MB Kruger,154,70.97
A Rawat,153,81.38
SP Patil,153,51.86
K Fraser,152,76.38
MDK Perera,152,73.43
AJ Redmond,152,57.14
D Ganga,152,50.33
AA Mulla,150,93.75
PJ Ongondo,150,60.0
JF Kloppenburg,149,62.08
BN Cooper,148,84.57
BOP Fernando,148,62.18
LM Kasperek,148,53.62
Khalid Latif,147,63.09
Shorna Akter,147,60.0
Nazimuddin,147,59.76
BYA Mendis,147,58.33
JA Burns,146,77.25
ID Blackwell,146,68.54
K Zondo,146,62.13
NC Dodd,145,48.49
D Devnarain,145,48.01
IJR Zwilling,145,41.31
CO Browne,144,84.21
S Jafta,144,51.8
Zahoor Khan,143,55.21
MB Loye,142,74.74
HJW Gardiner,142,64.55
RD Jacobs,142,63.11
VV Morea,142,62.28
KJJ van Noortwijk,141,98.6
KNA Bandara,141,64.98
SF Daley,141,58.75
TS Hasabnis,140,76.09
M Bhanuka,140,70.35
CT Dhururu,140,43.08
ARI Umeed,138,99.28
D Myers,138,71.13
KA Hope,138,68.66
T Bhatia,138,67.32
N Vare,138,42.72
D Gough,137,69.19
Marina Iqbal,137,43.91
NJ Carey,136,93.79
CR Pagydyala,136,80.0
HK Badani,135,77.14
S Verma,135,62.21
P Molkenboer,135,48.39
RP Singh,135,44.41
T Banton,134,92.41
AM Hardie,134,84.28
PA Browne,134,73.22
Faisal Iqbal,134,51.54
JL Smith,133,90.48
CR Seneviratna,133,48.01
TJ Friend,132,75.43
D Keulder,132,59.73
TS Kamunhukamwe,131,77.51
KH Pandya,130,99.24
D Bau,130,58.56
DF Watts,130,54.17
HDPK Dharmasena,129,83.23
D Ravu,128,66.32
Nafees Iqbal,128,47.41
B Sai Sudharsan,127,88.19
N Hussain,127,64.14
ZE Surkari,127,42.47
Azhar Mahmood,126,76.83
Mudassar Bukhari,126,69.23
CE Coulter Reilly,126,60.58
SACA King,126,54.08
SM Kavanagh,126,52.72
AR Odedara,126,43.9
KDU Prabodhani,126,35.69
H Carlyon,125,83.89
P Marange,125,81.7
ML Nkala,125,70.22
FL Mackay,125,63.78
RS Kaluwitharana,124,68.89
Dhiman Ghosh,124,60.49
PA Jaques,123,72.35
Usman Limbada,123,63.73
B Tau,123,52.34
PA Chatterji,123,51.46
CT Mutombodzi,122,81.88
JP Maher,122,65.24
Mahedi Hasan,122,62.56
Ayasha Rahman,122,58.37
T Maruma,122,54.22
B Evans,121,78.57
AL Hodgkinson,121,71.6
U Bhatti,120,91.6
K Weeraratne,120,86.33
N Koncharoenkai,120,78.43
JW Jenner,119,67.61
J Edness,119,54.59
R Malhotra,118,63.78
S Jimmy,118,59.6
J Anderson,118,57.56
BJ Patel,118,46.64
Khalid Kail,117,74.05
MC Henriques,117,60.94
SL Quintyne,117,57.35
CMG Atkins,117,55.45
RD Gaikwad,115,72.33
EN Lynch,115,50.22
Kainat Imtiaz,115,43.56
S Meghana,114,102.7
MA Carberry,114,62.98
B Muzarabani,114,54.03
Jaker Ali,113,105.61
L Jack,113,103.67
TBM de Leede,113,53.81
LP van Troost,112,68.29
DP Hyatt,112,59.26
KD Shah,112,58.33
JDF Vandersay,112,46.47
C Carter,111,63.07
AN Kervezee,110,53.92
SV Carlisle,110,44.18
D Hazell,109,77.86
TS Chisoro,109,70.32
R Murray,108,60.0
A Maregwede,108,59.34
A Khaka,108,46.35
KNM Fernando,107,108.08
MM English,107,86.29
BA Parchment,107,54.04
SR Hain,106,106.0
A Minny,106,81.54
SL Kalis,106,44.17
HDJ Siegers,105,84.68
RML Taylor,105,82.03
RK Kleinveldt,105,81.4
AA Jangoo,104,122.35
L Balaji,104,78.79
DA Minors,104,59.09
D Elgar,104,57.46
KV Jain,104,47.49
PS Athavale,103,58.52
C de Lange,103,45.58
M Klaas,103,38.87
M Kartik,102,74.45
AM Bacher,102,56.35
Yasir Ali Chowdhury,101,95.28
WK McCallan,101,57.39
Shahzaib Hasan,100,84.75
SM Benade,100,78.12
R Kanoh,100,67.11
CJ Bowes,99,81.82
Hamza Tariq,99,68.75
BMSM Kumari,99,40.74
I Maraj,98,35.9
JL Ontong,97,71.32
AL Kandappah,97,61.01
RA Jones,96,51.34
Tanzim Hasan Sakib,95,77.87
GEF Barnett,95,51.35
RJ Trott,95,48.97
RS Gavaskar,93,56.71
Sanjida Islam,93,41.15
T Munyonga,92,67.15
Shoriful Islam,91,85.85
JV Harris,91,43.96
GB Murgatroyd,90,60.81
A Nehra,90,51.72
SK Atai,90,48.91
Bilawal Bhatti,89,115.58
PBB Rajapaksa,89,102.3
SSD Arachchige,89,66.42
TC Bastiampillai,89,54.6
S Tippoch,89,39.38
Z James,89,36.78
Nashra Sandhu,89,27.55
N Davin,88,83.81
SE Findlay,88,62.86
J Fraser-McGurk,87,147.46
T Mupariwa,87,41.83
P Mujaji,86,51.81
FL Reifer,86,45.26
NE Bonner,85,60.71
J Sumerauer,84,113.51
SI Mahmood,84,84.85
JJ Atkinson,84,55.26
CJ Nevin,83,54.97
GT Main,82,92.13
C Hemraj,82,81.19
GC Bhogle,82,49.4
S Nitschke,81,96.43
Mohammad Wasim,80,91.95
A Lister,80,71.43
M McColl,80,68.97
GR Codrington,80,65.04
Rabiya Shah,80,62.99
M Terblanche,80,58.39
M Spoors,80,54.79
D Langford-Smith,79,94.05
E Claridge,79,76.7
AI Chudasama,79,74.53
UT Yadav,79,58.09
JP Greaves,79,57.66
E Schiferli,79,56.43
S Badrinath,79,45.66
MJ Cosgrove,78,96.3
HJ Armitage,78,82.11
T Suri,78,73.58
Sami Aslam,78,63.41
SP Khakurel,78,46.99
WB Rankin,78,42.62
SC Taylor,77,105.48
SP Krishnamurthi,77,77.78
Ravinderpal Singh,77,71.96
GM Ewing,77,66.96
SC Joseph,77,50.33
S Gajnabi,77,41.62
Syed Rasel,76,45.24
KW Richardson,75,107.14
Utkarsh Srivastava,75,100.0
KDK Vithanage,75,81.52
CA Lynn,75,81.52
MNK Fernando,75,70.09
SW Poynter,74,72.55
N Gwanzura,74,68.52
MM Patel,74,64.91
DS Bajwa,74,60.16
U Raymond-Hoey,74,59.68
DS Weerakkody,73,108.96
Kaleem Sana,73,75.26
Waheed Ahmed,73,55.73
C Sutthiruang,73,54.89
SS McKechnie,73,51.41
TP Visee,72,109.09
TL Best,72,63.16
DR Brown,72,62.61
SD Outerbridge,72,48.98
J Smits,72,36.92
Wasim Akram,71,98.61
BJ Bennett,71,94.67
TK Patel,71,47.65
V Araa,71,39.66
Mohammad Aadil Alam,70,85.37
Shuvagata Hom,70,79.55
Haris Rauf,70,75.27
Natalia Pervaiz,70,66.04
N Dutta,70,57.38
K Frank,70,53.85
TN de Grooth,70,46.67
DR Mousley,69,78.41
B Ward,69,65.09
Shakeel Ahmed,69,52.27
Tilak Varma,68,54.4
Sana Javed,68,50.0
AS van Beuge,68,34.69
RC Irani,67,53.6
GM Strydom,67,50.38
SR Waters,67,45.58
Sharmin Sultana,67,33.84
Mehran Khan,66,94.29
JR Philippe,65,71.43
CD de Lange,65,69.15
AD Poynter,65,48.51
S Molineux,64,83.12
Yasir Arafat,64,62.14
Batool Fatima,64,60.95
AR Caddick,64,54.24
N Boochatham,64,41.83
PD McGlashan,63,118.87
AAP Atkinson,63,114.55
L Tshuma,63,38.65
Adnan Akmal,62,67.39
J Gray,62,54.87
CS Fraser,62,46.27
BT Foakes,61,78.21
K Klein,61,69.32
S Laomi,61,54.95
G Sultana,61,36.97
Shahid Wasif,60,43.48
TG Norris,59,101.72
PJ Scholfield,59,96.72
BAM Heath,59,96.72
MJ Hay,59,81.94
