player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
JN Hamilton,218,79,5,0,0.0
Tanbir Hayder,207,76,5,0,0.0
N Kruger,69,22,5,0,0.0
K Sonavale,29,15,5,0,0.0
P Roy,231,133,5,0,0.0
CK Hooper,46,15,4,0,0.0
A van der Merwe,140,47,4,0,0.0
H Graham,491,343,4,0,0.0
Nahid Rana,167,60,4,0,0.0
Kaynat Hafeez,5,4,4,0,0.0
T Gwandu,242,58,4,0,0.0
Talha Jubair,95,32,4,0,0.0
S Immadi,57,27,4,0,0.0
HAPW Jayawardene,267,125,4,0,0.0
SD Heazlett,260,191,4,0,0.0
Sania Khan,416,205,4,0,0.0
RW Staple,58,27,4,0,0.0
A Munisar,282,108,4,0,0.0
BB Seebaran,40,10,4,0,0.0
H Durham,5,2,4,0,0.0
Rony Talukdar,145,51,4,0,0.0
Sufyan Mehmood,46,25,4,0,0.0
MWA van Nierop,50,16,4,0,0.0
Muhammad Farooq,55,22,4,0,0.0
Z Groenewald,52,25,4,0,0.0
VAB Tewarie,69,22,4,0,0.0
PLS Gamage,454,212,4,0,0.0
HL Baker,490,282,3,0,0.0
Pankaj Singh,67,38,3,0,0.0
S Sriram,304,174,3,0,0.0
A le Breton,207,128,3,0,0.0
DOD Rikhi,9,4,3,0,0.0
J Yadav,343,202,3,0,0.0
PT Collins,424,164,3,0,0.0
D Soraine,32,9,3,0,0.0
B Siddharth,29,15,3,0,0.0
KA Blackwell,409,291,3,0,0.0
D Gamage,331,158,3,0,0.0
HML Madushani,481,222,3,0,0.0
KHRK Fernando,467,217,3,0,0.0
O Chare,237,57,3,0,0.0
Ebadat Hossain,282,102,3,0,0.0
Sagar Pun,58,29,3,0,0.0
CK Kruger,11,3,3,0,0.0
A Shamshudeen,15,2,3,0,0.0
K Kamyuka,36,9,2,0,0.0
K Gowtham,75,41,2,0,0.0
C Prathyusha,52,32,2,0,0.0
RJ Rolls,329,170,2,0,0.0
LJ Hamilton,291,149,2,0,0.0
KR Sen,285,162,2,0,0.0
JA Turner,495,284,2,0,0.0
KC Hodsoll,8,2,2,0,0.0
JN Rhodes,184,118,2,0,0.0
U Thimashini,158,72,2,0,0.0
GH O'Brien,1,1,2,0,0.0
Z Mali,464,285,2,0,0.0
JNK Shannon,21,7,2,0,0.0
BR Dorey,489,341,2,0,0.0
D Lakshan,204,92,2,0,0.0
Fahad Nawaz,93,31,2,0,0.0
JM Willathgamuwa,30,14,2,0,0.0
Umran Malik,551,339,2,0,0.0
PG Gillespie,149,53,2,0,0.0
Akhil Kumar,27,7,2,0,0.0
Tareq Aziz,48,14,2,0,0.0
PA Desai,46,15,2,0,0.0
KL Rolton,416,296,2,0,0.0
RA Lewis,139,47,2,0,0.0
Hussain Talat,315,159,2,0,0.0
HE Whelan,61,20,2,0,0.0
J Pashley,65,21,2,0,0.0
SC Meaker,292,173,2,0,0.0
Nasir Javed,58,27,2,0,0.0
HWR Cartwright,376,270,2,0,0.0
GJ McCarter,120,39,1,0,0.0
G Onions,496,284,1,0,0.0
JW Wilson,291,149,1,0,0.0
LE Milliken,329,170,1,0,0.0
Alawi Shukri,74,26,1,0,0.0
G Fontenla,59,33,1,0,0.0
Tharika Sewwandi,263,124,1,0,0.0
Khaled Ahmed,327,127,1,0,0.0
Zakir Hasan,327,127,1,0,0.0
LC Romero,58,27,1,0,0.0
EJB Miles,4,1,1,0,0.0
Omid Shafi Rahman,55,22,1,0,0.0
RR Ramdass,203,74,1,0,0.0
NV Ojha,67,38,1,0,0.0
K Mahato,40,18,1,0,0.0
W Mwayenga,131,32,1,0,0.0
Jannatul Ferdus,162,58,1,0,0.0
AD Janakanthymala,340,160,1,0,0.0
CM Beggs,61,20,1,0,0.0
Moniruzzaman,168,60,1,0,0.0
MT Herbert,61,20,1,0,0.0
SD Udal,503,288,0,0,0.0
RA Rolfe,160,56,0,0,0.0
PHT Kaushal,486,226,0,0,0.0
D Foxcroft,416,219,0,0,0.0
Fazle Mahmud,319,121,0,0,0.0
V Buruka,56,10,0,0,0.0
Fariha Trisna,314,118,0,0,0.0
R Walters,51,24,0,0,0.0
DL Blake,58,27,0,0,0.0
F Hand,143,50,0,0,0.0
JS Ababu,35,11,0,0,0.0
TJ Bishop,377,147,0,0,0.0
AG Puttick,406,252,0,0,0.0
VCE Wattenberg,65,21,0,0,0.0
LM Hoitink,65,21,0,0,0.0
K Phillip,53,24,0,0,0.0
MF Fahey,329,170,0,0,0.0
AL Watkins,329,170,0,0,0.0
SI Galagedara,340,160,0,0,0.0
OC McCoy,260,102,0,0,0.0
GA Guy,270,136,0,0,0.0
APS Lakshika,273,128,0,0,0.0
Melanie Ani,33,6,0,0,0.0
Shahbaz Ahmed,285,162,0,0,0.0
Raza Hasan,199,99,0,0,0.0
A Chopra,231,133,0,0,0.0
SK Naidu,231,133,0,0,0.0
JA Whelan,61,20,0,0,0.0
JC Carroll,61,20,0,0,0.0
Sumaiya Akter,115,38,0,0,0.0
KL Tucker,2,1,0,0,0.0
Pooja Ganesh,20,11,0,0,0.0
CK Holder,79,28,0,0,0.0
S Lackay,94,59,0,0,0.0
Sufiyan Muqeem,68,38,0,0,0.0
Simandeep Singh,2,0,0,0,0.0
Shathira Jakir,46,14,0,0,0.0
Sultana Yesmin,46,14,0,0,0.0
C Sakariya,75,41,0,0,0.0
Shahriar Hossain,40,11,0,0,0.0
Salman Faris,8,3,0,0,0.0
Haseebullah Khan,12,6,0,0,0.0
Syeda Aroob Shah,5,4,0,0,0.0
