player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
UDU Chandana,457,214,260,2,0.44
MV Boucher,466,286,2617,2,0.43
Haris Sohail,468,227,1709,2,0.43
Javeria Khan,463,223,1408,2,0.43
Nida Dar,463,223,1171,2,0.43
Fatima Sana,463,223,484,2,0.43
Mohammad Nawaz,461,222,173,2,0.43
M Klaas,464,285,103,2,0.43
RR Hendricks,472,291,930,2,0.42
N de Klerk,471,290,589,2,0.42
A Khaka,471,290,108,2,0.42
HC Brook,487,280,653,2,0.41
DN Wellalage,490,227,285,2,0.41
CJ Jordan,492,283,184,2,0.41
HDRL Thirimanne,506,236,3164,2,0.4
P Nissanka,495,230,1810,2,0.4
OA Shah,502,287,1579,2,0.4
S Samarawickrama,495,230,1073,2,0.4
TT Samaraweera,500,232,669,2,0.4
MD Gunathilaka,507,236,1592,2,0.39
MP Vaughan,509,291,1382,2,0.39
AJ Blackwell,516,360,953,2,0.39
SIR Dunkley,513,292,789,2,0.39
LS Greenway,507,291,732,2,0.39
GO Jones,518,295,715,2,0.39
MDT Kamini,514,318,353,2,0.39
SI Mahmood,509,291,84,2,0.39
C Green,526,366,626,2,0.38
JL Jonassen,527,367,533,2,0.38
AT Carey,543,381,1978,2,0.37
M Labuschagne,543,381,1764,2,0.37
JR Hopes,545,381,1326,2,0.37
PJ Hughes,544,381,826,2,0.37
AC Voges,544,381,798,2,0.37
RP Singh,542,333,135,2,0.37
SW Tait,545,381,25,2,0.37
JI Rodrigues,578,359,1051,2,0.35
VVS Laxman,570,353,828,2,0.35
YK Pathan,579,360,810,2,0.35
H Deol,568,351,561,2,0.35
A Nehra,579,360,90,2,0.35
MM Patel,579,360,74,2,0.35
SV Samson,580,360,510,2,0.34
CR Pagydyala,3,1,136,1,33.33
JAD Lawrenson,4,1,177,1,25.0
IA Karim,29,10,196,1,3.45
E Otieno,29,10,21,1,3.45
AR Odedara,37,21,126,1,2.7
MO Odumbe,38,13,324,1,2.63
GR Codrington,38,10,80,1,2.63
T Mishra,39,13,395,1,2.56
R Gunasekera,48,16,255,1,2.08
A Bagai,49,16,614,1,2.04
ARI Umeed,49,27,138,1,2.04
A Codrington,49,16,33,1,2.04
KH Prajapati,51,27,996,1,1.96
NR Kirton,51,18,483,1,1.96
NS Dhaliwal,51,18,295,1,1.96
Sandeep Goud,52,27,535,1,1.92
CG Williams,52,25,427,1,1.92
HN Ya France,52,25,237,1,1.92
JJ Smit,54,25,839,1,1.85
I Toua,56,10,41,1,1.79
G Kodali,57,27,46,1,1.75
AGS Gous,60,29,157,1,1.67
L Siaka,62,12,749,1,1.61
SR Mukkamalla,62,29,711,1,1.61
AK Sah,62,31,320,1,1.61
A Vala,63,12,1783,1,1.59
TP Ura,63,12,1196,1,1.59
N Vanua,63,12,769,1,1.59
SK Patel,63,29,278,1,1.59
A Nao,63,12,54,1,1.59
SJ Modani,64,30,898,1,1.56
P Khadka,64,32,252,1,1.56
Kushal Malla,65,33,756,1,1.54
B Sharki,65,33,703,1,1.54
Sompal Kami,65,33,621,1,1.54
MM English,74,41,107,1,1.35
SJ Myburgh,78,23,347,1,1.28
CM McBride,82,44,386,1,1.22
R Rijke,85,25,238,1,1.18
BJ Currie,85,46,9,1,1.18
AT Nidamanuru,86,25,713,1,1.16
LV van Beek,86,25,505,1,1.16
JF Kloppenburg,87,26,149,1,1.15
TBM de Leede,87,26,113,1,1.15
Adnan Mufti,89,31,328,1,1.12
V Sukumaran,92,31,194,1,1.09
Chirag Suri,95,33,924,1,1.05
GT Main,95,51,82,1,1.05
A Neill,95,51,29,1,1.05
R Chopra,96,33,260,1,1.04
AH Maqsood,97,52,12,1,1.03
CP Rizwan,98,34,901,1,1.02
Rameez Shahzad,99,34,848,1,1.01
A Sharma,99,34,323,1,1.01
JH Davey,99,53,193,1,1.01
PL Mommsen,100,53,601,1,1.0
RM Haq,100,53,181,1,1.0
HG Munsey,101,54,1675,1,0.99
TB Sole,101,54,38,1,0.99
Simi Singh,151,53,406,1,0.66
JP Bray,152,53,234,1,0.66
O Prendergast,162,58,821,1,0.62
A Hunter,162,58,776,1,0.62
GC Wilson,164,60,1232,1,0.61
DT Johnston,164,60,361,1,0.61
AR Cusack,164,60,264,1,0.61
OV Anderson,166,109,46,1,0.6
CB Wishart,233,57,361,1,0.43
AA Jangoo,241,90,104,1,0.41
MN Waller,261,62,1039,1,0.38
MA Vermeulen,265,64,517,1,0.38
TS Chisoro,264,64,109,1,0.38
CK Coventry,269,65,645,1,0.37
A Ndiraya,270,65,428,1,0.37
J Nkomo,270,65,354,1,0.37
M Musonda,270,65,262,1,0.37
B Muzarabani,273,66,114,1,0.37
CJ Chibhabha,275,66,1987,1,0.36
SF Mire,277,66,729,1,0.36
PJ Moor,277,66,520,1,0.36
Saud Shakeel,291,145,283,1,0.34
Tanzim Hasan Sakib,292,106,95,1,0.34
