player_name,Total_Runs,POM_Awards
Nestor Dhamba,23,0
Nazimuddin,147,0
PJ Ingram,193,0
Naved Latif,7,0
Naumanullah,5,0
PJ Ongondo,150,0
Natalia Pervaiz,70,0
PJ Scholfield,59,0
PJ Forrest,368,0
P Siaka,160,0
P Roy,5,0
P Mustard,219,0
PA Browne,134,0
P Mujaji,86,0
PA Chatterji,123,0
PA Desai,2,0
P Molkenboer,135,0
PA Jaques,123,0
OEG Baartman,13,0
P Maya,53,0
P Marange,125,0
PA Patel,693,0
PA de Silva,390,0
PARP Perera,33,0
Omid Shafi Rahman,1,0
PBB Rajapaksa,89,0
OO Bascome,17,0
PD McGlashan,63,0
OL Pitcher,28,0
PA Nixon,297,0
PW Borren,413,0
NS Poonia,12,0
NRJ Croes,207,0
PY Lavine,8,0
Pankaj Singh,3,0
NR Kumar,177,0
Pooja Ganesh,0,0
NND de Silva,703,0
NK Crafton,13,0
Nasir Javed,2,0
NJ Coffey,8,0
NJ Carey,136,0
NG Smith,26,0
NFI McCallum,233,0
NE Farrant,41,0
NE Bonner,85,0
Qaiser Ali,38,0
Qanita Jalil,32,0
ND McKenzie,182,0
R Boyce,30,0
Q Joseph,179,0
PJC Hoffmann,30,0
PKD Chase,22,0
Nashra Sandhu,89,0
Naseem Khushi,360,0
Najiha Alvi,170,0
PLS Gamage,4,0
PM Liyanagamage,28,0
PM Weerakkody,638,0
Nain Abidi,521,0
Nahida Khan,1121,0
PT Collins,3,0
PP Ojha,46,0
Nahid Rana,4,0
PRCS Kumarihami,283,0
Nafees Iqbal,128,0
PRP Boissevain,33,0
NY McLean,231,0
NV Ojha,1,0
PS Athavale,103,0
NV Knight,339,0
PSP Handscomb,632,0
PP Chawla,38,0
T Suri,78,0
T Ruma,232,0
T Putthawong,31,0
T Muzarabani,10,0
T Mupariwa,87,0
T Munyonga,92,0
T Marumani,214,0
Musa Ahmed,238,0
T Kamungozi,25,0
T Kaitano,157,0
T Gwandu,4,0
T Granger,38,0
T Duffin,224,0
T Bhatia,138,0
T Banton,134,0
Syeda Aroob Shah,0,0
T Maruma,122,0
TM Dowlin,228,0
TLW Cooper,576,0
TL Seifert,33,0
TL Chivanga,18,0
TL Best,72,0
TK Patel,71,0
TK Musakanda,210,0
TJG Pringle,6,0
TA Blundell,266,0
TJ Friend,132,0
TJ Bishop,0,0
TH David,45,0
TG Norris,59,0
TD Smartt,40,0
TCB Fernando,18,0
TC Bastiampillai,89,0
TB Robinson,48,0
TJ Heggelman,23,0
Shariz Ahmad,159,0
Shan Masood,163,0
Shamima Sultana,304,0
Shamim Hossain,22,0
Shaiman Anwar,947,0
Shaila Sharmin,59,0
Shahzaib Hasan,100,0
Shahriar Hossain,0,0
Syed Rasel,76,0
Shahid Ahmadzai,26,0
Shahbaz Ahmed,0,0
Shafali Verma,644,0
Saqlain Mushtaq,17,0
Saqlain Haider,30,0
Sanjida Islam,93,0
Sania Khan,4,0
Sana Javed,68,0
Shahid Wasif,60,0
Suraj Kumar,392,0
Sumaiya Akter,0,0
Sultana Yesmin,0,0
Sultan Ahmed,18,0
Sufyan Mehmood,4,0
