player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
A Codrington,6,187,169,0.032,28.17
Shoriful Islam,46,1445,1379,0.032,29.98
KK Ahmed,14,435,423,0.032,30.21
RA Lewis,1,31,31,0.032,31.0
Gulsan Jha,30,951,937,0.032,31.23
Shariz Ahmad,19,595,596,0.032,31.37
E Otieno,15,463,479,0.032,31.93
O Thomas,30,931,998,0.032,33.27
Raza Hasan,2,62,68,0.032,34.0
JG Bethell,4,124,145,0.032,36.25
CR Seneviratna,12,392,234,0.031,19.5
M van Jaarsveld,1,32,20,0.031,20.0
Simi Singh,30,958,615,0.031,20.5
DNT Zoysa,23,750,560,0.031,24.35
T Muzarabani,8,256,195,0.031,24.38
RM Haq,27,871,673,0.031,24.93
FL Mackay,19,614,475,0.031,25.0
N de Klerk,53,1702,1362,0.031,25.7
S Thuraisingam,6,191,162,0.031,27.0
R Rampaul,115,3703,3136,0.031,27.27
Sompal Kami,79,2511,2168,0.031,27.44
JB Reva,6,192,165,0.031,27.5
TL Best,36,1175,994,0.031,27.61
IK Pathan,156,5050,4419,0.031,28.33
A Nehra,115,3745,3363,0.031,29.24
KP Meiyappan,38,1228,1123,0.031,29.55
Tanzim Hasan Sakib,14,445,417,0.031,29.79
BM Halliday,7,223,209,0.031,29.86
SI Mahmood,38,1238,1145,0.031,30.13
B Shikongo,25,796,755,0.031,30.2
B Evans,17,542,525,0.031,30.88
UT Yadav,116,3701,3659,0.031,31.54
JD Ryder,11,359,357,0.031,32.45
LN Rajbanshi,42,1388,893,0.03,21.26
AR Caddick,18,604,389,0.03,21.61
AD Janakanthymala,2,67,47,0.03,23.5
ASS Fletcher,61,2041,1526,0.03,25.02
AR White,10,328,253,0.03,25.3
LMM Tahuhu,98,3276,2511,0.03,25.62
S Nisansala,8,269,209,0.03,26.12
MF Maharoof,118,3911,3113,0.03,26.38
JM Davison,19,630,513,0.03,27.0
Junaid Siddique,77,2575,2137,0.03,27.75
KAJ Roach,132,4472,3775,0.03,28.6
JF Mooney,37,1242,1119,0.03,30.24
AD Russell,72,2362,2235,0.03,31.04
AL Phehlukwayo,96,3189,3003,0.03,31.28
NR Kumar,2,67,67,0.03,33.5
Z Mali,4,139,81,0.029,20.25
G Fontenla,3,102,65,0.029,21.67
A Martin,13,447,300,0.029,23.08
EN Lynch,15,510,355,0.029,23.67
A Khaka,129,4389,3067,0.029,23.78
RK Paudel,10,346,238,0.029,23.8
Fariha Trisna,6,208,144,0.029,24.0
D Gough,58,2004,1504,0.029,25.93
A Mohammed,58,2015,1533,0.029,26.43
Washington Sundar,23,807,631,0.029,27.43
AA Alleyne,30,1021,834,0.029,27.8
MA Leask,64,2184,1789,0.029,27.95
P Roy,1,34,28,0.029,28.0
SM Sharif,89,3099,2497,0.029,28.06
MM Patel,93,3188,2614,0.029,28.11
SI Kamea,28,950,797,0.029,28.46
GR Codrington,9,307,267,0.029,29.67
I Wardlaw,18,622,596,0.029,33.11
Usama Mir,15,521,507,0.029,33.8
JA Turner,2,70,70,0.029,35.0
Mohammad Hasnain,20,695,705,0.029,35.25
Afif Hossain,3,105,108,0.029,36.0
G Toka,3,102,111,0.029,37.0
H Hiri,3,103,114,0.029,38.0
NG Smith,6,208,230,0.029,38.33
Iram Javed,1,34,41,0.029,41.0
AM Samad,2,69,93,0.029,46.5
N Boochatham,10,356,165,0.028,16.5
C Sutthiruang,7,246,149,0.028,21.29
Sadia Iqbal,31,1105,671,0.028,21.65
AM Bacher,3,108,66,0.028,22.0
M Kapp,133,4729,3154,0.028,23.71
TK Patel,5,176,120,0.028,24.0
SP Narine,99,3554,2445,0.028,24.7
CM McBride,4,145,102,0.028,25.5
TM Odoyo,45,1635,1172,0.028,26.04
JN Frylinck,36,1298,938,0.028,26.06
I Toua,11,395,288,0.028,26.18
CA Soper,67,2380,1774,0.028,26.48
A Capsey,8,289,218,0.028,27.25
HM Rowe,58,2075,1603,0.028,27.64
AJ Hosein,60,2132,1709,0.028,28.48
DT Christian,21,739,605,0.028,28.81
Mahedi Hasan,15,534,441,0.028,29.4
SR Watson,162,5690,4780,0.028,29.51
M Klaas,77,2771,2277,0.028,29.57
RP Singh,80,2817,2487,0.028,31.09
HDRL Thirimanne,3,107,94,0.028,31.33
T Mupariwa,39,1417,1225,0.028,31.41
DPMD Jayawardene,2,72,63,0.028,31.5
MDK Perera,13,466,413,0.028,31.77
