player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
HK Badani,534,330,135,77.14,61.79775280898876
M Kartik,534,330,102,74.45,61.79775280898876
SV Bahutule,534,330,11,84.62,61.79775280898876
YH Bhatia,568,351,666,69.88,61.79577464788732
Shafali Verma,568,351,644,79.21,61.79577464788732
P Vastrakar,568,351,579,86.29,61.79577464788732
H Deol,568,351,561,76.53,61.79577464788732
T Stubbs,424,262,218,93.97,61.79245283018868
RD Rickelton,424,262,188,88.26,61.79245283018868
OEG Baartman,424,262,13,54.17,61.79245283018868
D Devnarain,403,249,145,48.01,61.78660049627791
M van Jaarsveld,437,270,29,50.88,61.784897025171624
UT Yadav,565,349,79,58.09,61.769911504424776
PP Ojha,565,349,46,40.35,61.769911504424776
AB Dinda,565,349,21,55.26,61.769911504424776
MK Tiwary,536,331,287,69.66,61.75373134328358
STR Binny,536,331,230,91.27,61.75373134328358
PA Patel,567,350,693,78.39,61.72839506172839
S Badrinath,567,350,79,45.66,61.72839506172839
PP Chawla,546,337,38,63.33,61.72161172161172
HM Amla,470,290,7834,86.49,61.702127659574465
Q de Kock,470,290,6661,94.83,61.702127659574465
F du Plessis,470,290,5445,86.59,61.702127659574465
JP Duminy,470,290,4928,82.33,61.702127659574465
DA Miller,470,290,4466,100.56,61.702127659574465
AL Phehlukwayo,470,290,827,83.03,61.702127659574465
Ishan Kishan,553,341,886,99.55,61.66365280289331
SA Yadav,553,341,773,102.93,61.66365280289331
JA Morkel,459,283,705,96.97,61.6557734204793
J Botha,459,283,594,82.73,61.6557734204793
JL Ontong,459,283,97,71.32,61.6557734204793
J Louw,459,283,23,328.57,61.6557734204793
HE van der Dussen,472,291,2388,85.1,61.652542372881356
RR Hendricks,472,291,930,76.8,61.652542372881356
T de Zorzi,472,291,381,95.49,61.652542372881356
A Steyn,438,270,781,61.11,61.64383561643836
ND McKenzie,438,270,182,70.0,61.64383561643836
L Balaji,537,331,104,78.79,61.638733705772815
H Klaasen,469,289,1977,115.01,61.62046908315565
DW Steyn,469,289,365,61.66,61.62046908315565
Imran Tahir,469,289,157,67.38,61.62046908315565
K Zondo,469,289,146,62.13,61.62046908315565
D Elgar,469,289,104,57.46,61.62046908315565
C Jonker,469,289,31,91.18,61.62046908315565
WD Parnell,461,284,574,77.25,61.60520607375271
PS Punia,552,340,273,54.27,61.594202898550726
JN Malan,458,282,958,81.39,61.572052401746724
K Verreynne,458,282,476,87.18,61.572052401746724
L Wolvaardt,471,290,3992,71.21,61.57112526539278
L Lee,471,290,2516,82.65,61.57112526539278
M du Preez,471,290,2223,69.6,61.57112526539278
M Kapp,471,290,2195,85.31,61.57112526539278
S Luus,471,290,2080,65.29,61.57112526539278
T Chetty,471,290,1414,68.51,61.57112526539278
L Goodall,471,290,817,59.9,61.57112526539278
N de Klerk,471,290,589,72.09,61.57112526539278
S Ismail,471,290,273,49.55,61.57112526539278
A Khaka,471,290,108,46.35,61.57112526539278
N Mlaba,471,290,40,58.82,61.57112526539278
PP Shaw,541,333,189,108.62,61.55268022181146
C Prathyusha,52,32,2,66.67,61.53846153846154
Umran Malik,551,339,2,18.18,61.524500907441016
MN van Wyk,457,281,425,67.35,61.48796498905908
RP Singh,542,333,135,44.41,61.43911439114391
CL Tryon,464,285,1440,107.14,61.422413793103445
M Klaas,464,285,103,38.87,61.422413793103445
TS Sekhukhune,464,285,24,28.24,61.422413793103445
R Ntozakhe,464,285,8,26.67,61.422413793103445
Z Mali,464,285,2,28.57,61.422413793103445
RR Rossouw,451,277,1239,92.39,61.41906873614191
W Jaffer,539,331,10,43.48,61.4100185528757
CA Ingram,456,280,761,81.39,61.40350877192982
AN Petersen,456,280,498,81.64,61.40350877192982
T Bavuma,443,272,1548,87.26,61.39954853273138
S Verma,435,267,135,62.21,61.37931034482759
AB de Villiers,466,286,9435,99.44,61.37339055793991
HH Gibbs,466,286,3766,84.93,61.37339055793991
MV Boucher,466,286,2617,88.38,61.37339055793991
AG Prince,466,286,761,67.58,61.37339055793991
T Brits,453,278,786,69.13,61.36865342163355
A Bosch,453,278,355,73.8,61.36865342163355
