player_name,High_Batting_Strike_Rate,Player_Average
JL Denly,69.14728682,446.0
TM Odoyo,69.10907577,18.44
SHT Kandamby,69.03171953,413.5
A Sharma,69.01709402,80.75
Diana Baig,68.94736842,6.09
MP O'Dowd,68.90618599,1682.0
Javeria Rauf,68.75,11.0
A Vala,68.73554356,37.94
A Ndiraya,68.58974359,428.0
Saeed Anwar,68.55345912,218.0
ID Blackwell,68.54460094,9.73
L Vincent,68.36158192,1089.0
LP van Troost,68.29268293,112.0
RD Steede,68.18181818,15.0
P Siaka,68.08510638,32.0
Waqar Younis,68.0,2.43
A Neill,67.44186047,1.93
Imran Tahir,67.38197425,0.87
WPUJC Vaas,67.33727811,4.82
GM Ewing,66.95652174,12.83
JN Mohammed,66.84607104,77.62
H Thaker,66.81222707,27.82
Junaid Siddique,66.68843893,13.26
Shahid Ahmadzai,66.66666667,26.0
K Gowtham,66.66666667,2.0
C Prathyusha,66.66666667,2.0
MJ Humphreys,66.66666667,6.0
PKD Chase,66.66666667,1.16
MT Chinouya,66.66666667,6.0
MH Yardy,66.53061224,16.3
S Matsikenyeri,66.51422764,87.27
SSD Arachchige,66.41791045,89.0
D Ravu,66.32124352,12.8
HM Rowe,66.26746507,5.72
UDU Chandana,66.15776081,6.84
NND de Silva,66.07142857,234.33
BM Scholtz,66.05263158,3.59
GH Lewis,65.9813999,168.5
G Malla,65.76419214,753.0
M Vijay,65.69767442,339.0
NW Bracken,65.66037736,1.04
Nida Dar,65.63901345,18.89
WW Hinds,65.5596556,48.45
AG Wharf,65.51724138,1.06
T Granger,65.51724138,19.0
DNT Zoysa,65.45454545,1.57
S Luus,65.28562461,24.76
MP Vaughan,65.25023607,153.56
D Parashar,65.16853933,11.6
B Ward,65.09433962,17.25
GR Codrington,65.04065041,8.89
NG Smith,65.0,4.33
HHC Gunaratne,65.0,1.62
ASS Fletcher,64.97695853,4.62
MM Patel,64.9122807,0.8
Imran Farhat,64.5364065,616.0
SO Tikolo,64.26618049,25.18
NE Farrant,64.0625,10.25
J Nkomo,64.01446655,14.16
GA Rogers,64.0,6.4
J Kila,63.85542169,26.5
R Malhotra,63.78378378,118.0
FL Mackay,63.7755102,6.58
J Mubarak,63.7454982,531.0
Aliya Riaz,63.66033755,92.85
CJ Chibhabha,63.48242812,66.23
PP Chawla,63.33333333,1.15
Bismah Maroof,63.27130264,161.5
AC Botha,63.24582339,16.56
RP Lefebvre,63.23529412,10.75
TL Best,63.15789474,2.0
T Ruma,63.04347826,116.0
SS Weerakkody,62.95585413,11.71
GB Brent,62.95081967,7.68
DC Thomas,62.79683377,119.0
Ehsan Adil,62.79069767,6.75
Aarif Sheikh,62.62135922,129.0
DR Brown,62.60869565,24.0
Mahedi Hasan,62.56410256,8.13
AR Cusack,62.55924171,7.76
N Deonarine,62.54295533,136.5
GC Tonge,62.5,1.67
Yasir Arafat,62.13592233,32.0
JF Kloppenburg,62.08333333,21.29
Rohan Mustafa,61.96373286,16.1
D Bishoo,61.88679245,4.32
JH Davey,61.85897436,7.42
V Sukumaran,61.78343949,64.67
Umaima Sohail,61.69429098,37.22
DW Steyn,61.65540541,1.72
CJA Amini,61.61812298,28.85
TD Smartt,61.53846154,3.33
Javeria Khan,61.51157711,176.0
V Sibanda,61.29218344,531.25
IDR Bradshaw,61.22931442,3.75
MC Henriques,60.9375,11.7
NE Bonner,60.71428571,85.0
G Kodali,60.52631579,6.57
AR White,60.44176707,30.1
Shaila Sharmin,60.20408163,59.0
DS Bajwa,60.16260163,74.0
AA Alleyne,60.03521127,11.37
S Sriram,60.0,1.0
AA Paradkar,60.0,5.67
Shorna Akter,60.0,21.0
PJ Ongondo,60.0,4.41
SA Campbelle,59.90759754,291.75
S Jimmy,59.5959596,6.94
AM Samad,59.16230366,113.0
WP Masakadza,59.13043478,9.27
GM Harris,59.09090909,1.62
S Bau,58.93459204,67.23
Mukesh Kumar,58.82352941,2.0
N Mlaba,58.82352941,1.67
SF Daley,58.75,15.67
CS Terblanche,58.46153846,38.0
KD Shah,58.33333333,16.0
UT Yadav,58.08823529,0.68
S Siegers,57.89473684,1.22
PRP Boissevain,57.89473684,33.0
NR Kumar,57.84313725,88.5
KM Dabengwa,57.68621236,24.27
JP Greaves,57.66423358,79.0
D Elgar,57.45856354,52.0
WK McCallan,57.38636364,7.21
N Dutta,57.37704918,35.0
O Kamchomphu,57.37704918,2.33
SL Quintyne,57.35294118,13.0
CP Rizwan,57.27908455,901.0
Iram Javed,56.84210526,216.0
LA Marsh,56.77419355,4.98
RS Gavaskar,56.70731707,93.0
DLS van Bunge,56.45472062,48.83
E Schiferli,56.42857143,9.88
AM Bacher,56.35359116,34.0
HASD Siriwardene,55.97691674,21.22
GP Tom,55.88235294,4.75
Waheed Ahmed,55.72519084,73.0
SJ Tsukigawa,55.71428571,19.5
JB Reva,55.55555556,2.5
CA Soper,55.38592027,9.75
S Thuraisingam,55.31914894,4.33
AB Dinda,55.26315789,1.5
Zahoor Khan,55.21235521,1.51
S Laomi,54.95495495,3.81
C Sutthiruang,54.88721805,10.43
H Hiri,54.78589421,145.0
KE Ebrahim,54.73684211,13.0
Shariz Ahmad,54.63917526,8.37
I Wardlaw,54.54545455,1.0
W Sutherland,54.54545455,9.0
HDRS Silva,54.34782609,12.5
AR Caddick,54.23728814,3.56
T Maruma,54.22222222,20.33
OEG Baartman,54.16666667,2.17
SACA King,54.07725322,63.0
G Toka,54.03225806,89.33
B Muzarabani,54.02843602,2.11
SA Fritz,53.84615385,5.6
TBM de Leede,53.80952381,6.28
LM Kasperek,53.62318841,2.6
RC Irani,53.6,8.38
K Birkenstock,53.19634703,46.6
SP de Alwis,52.83018868,28.0
SM Kavanagh,52.71966527,126.0
KO Meth,52.68817204,4.9
SW Currie,52.63157895,3.33
Tushar Imran,52.41090147,125.0
Asmavia Iqbal,52.3255814,8.33
Shakeel Ahmed,52.27272727,4.06
A Nehra,51.72413793,0.78
PA Chatterji,51.46443515,15.38
LL Tsotsobe,51.32743363,0.57
JL Pattinson,51.25,3.15
RM Haq,51.1299435,6.7
M van Jaarsveld,50.87719298,29.0
Rumana Ahmed,50.65885798,13.31
KAJ Roach,50.49180328,2.33
P Maya,50.47619048,5.89
AB Kaur,50.4587156,9.17
EN Lynch,50.21834061,7.67
Qanita Jalil,50.0,5.33
KR Sen,50.0,1.0
Sadia Iqbal,50.0,0.9
G Onions,50.0,0.25
Jubair Hossain,50.0,1.25
JI de Villiers,50.0,2.67
RD Chahar,50.0,4.33
JW Wilson,50.0,1.0
S Ismail,49.54627949,1.92
IM Vaghela,49.45054945,11.25
SD Outerbridge,48.97959184,72.0
RJ Trott,48.96907216,10.56
Lata Mondal,48.71060172,85.0
IH Romaine,48.61111111,175.0
P Molkenboer,48.38709677,135.0
HJ Thomas,48.36065574,6.56
Faisal Hossain,48.14814815,26.0
TMM Newton,48.10126582,6.33
Hasan Mahmud,48.05194805,1.28
CR Seneviratna,48.01444043,11.08
D Devnarain,48.01324503,145.0
KP Meiyappan,47.66081871,4.29
TK Patel,47.65100671,14.2
F Overdijk,47.55838641,20.36
J Jarvis,47.45762712,4.0
Kuldeep Yadav,47.44525547,1.13
KK Ahmed,47.05882353,0.57
R Klein,46.91358025,3.17
JDF Vandersay,46.47302905,2.8
A Khaka,46.35193133,0.84
CS Fraser,46.26865672,6.89
TCB Fernando,46.15384615,18.0
