player_name,Total_Runs,Strike_Rate,Total_Wickets_Taken,POTM
SW Billings,690,89.84,0,0
ZE Green,686,78.67,0,0
MS Chapman,684,102.86,0,2
HASD Siriwardene,679,55.98,32,0
Umaima Sohail,670,61.69,18,0
TT Samaraweera,669,73.19,1,2
GWHM Perera,668,56.75,0,0
YH Bhatia,666,69.88,0,1
CJ Ferguson,663,83.4,0,1
RH Priest,661,81.0,0,0
HJH Marshall,661,67.45,0,2
L Tucker,657,76.75,0,0
HC Brook,653,105.49,0,2
CA Soper,653,55.39,67,2
CK Coventry,645,87.52,0,1
Shafali Verma,644,79.21,2,0
Sharmin Akhter,643,56.4,0,2
MADD Surangika,642,53.06,0,0
PM Weerakkody,638,54.44,0,0
Agha Salman,637,97.7,15,1
PSP Handscomb,632,96.34,0,0
C Green,626,81.3,21,2
Gulsan Jha,625,75.57,30,3
Sompal Kami,621,71.71,79,1
JN Mohammed,621,66.85,8,1
KT Perkins,618,73.75,0,0
JN Frylinck,615,73.65,36,3
A Bagai,614,61.71,0,1
H Thaker,612,66.81,22,4
JF Mooney,610,81.77,37,0
Khaled Mashud,605,53.12,0,0
PL Mommsen,601,76.46,0,1
Kyshona A Knight,597,47.99,0,0
RN ten Doeschate,594,87.1,20,2
J Botha,594,82.73,77,0
BMAJ Mendis,593,80.03,31,1
JM Vince,590,86.51,1,1
N de Klerk,589,72.09,53,2
Aayan Afzal Khan,585,73.96,43,3
FH Allen,582,91.37,0,1
P Vastrakar,579,86.29,29,1
TLW Cooper,576,74.23,6,0
WD Parnell,574,77.25,110,4
BJ Watling,573,66.63,0,0
WPUJC Vaas,569,67.34,118,4
AR Patel,568,90.02,67,1
L Winfield,564,70.77,0,0
H Deol,561,76.53,2,2
MK Pandey,558,89.42,0,1
DD Ebrahim,555,52.86,0,0
Abdullah Shafique,554,80.41,0,0
Afif Hossain,548,86.85,3,1
N Deonarine,546,62.54,4,1
Babar Hayat,539,71.96,0,3
CA Henry,537,76.39,33,1
Sandeep Goud,535,69.84,0,1
L Louwrens,535,58.28,0,0
JL Jonassen,533,84.34,136,2
Imran Nazir,531,87.91,0,1
J Mubarak,531,63.75,1,1
CR Brathwaite,527,85.97,46,0
Mosaddek Hossain,524,80.0,16,1
RJ Peterson,523,82.23,76,0
JP Inglis,521,99.24,0,0
Nain Abidi,521,54.55,0,0
PJ Moor,520,66.58,0,1
K Doriga,520,56.09,0,0
MA Vermeulen,517,64.95,0,1
BJ Hodge,516,88.51,1,1
CD Wallace,515,86.12,0,0
SV Samson,510,96.77,0,2
Nizakat Khan,508,80.89,3,0
SL Malinga,508,72.47,343,7
LV van Beek,505,82.79,50,1
AN Petersen,498,81.64,0,0
SE Rutherford,497,110.44,3,1
Shayan Jahangir,497,85.25,0,0
Mominul Haque,495,73.77,6,0
SM Sharif,492,69.79,89,2
JWM Dalrymple,487,71.94,15,0
AA Obanda,487,69.18,0,0
LR Down,486,60.83,0,1
Fatima Sana,484,69.54,59,2
NR Kirton,483,74.19,4,1
ME Bouchier,482,103.43,0,1
RS Williams,477,46.22,0,0
K Verreynne,476,87.18,0,0
SW Ambris,473,93.66,0,1
N Chantam,473,68.65,0,3
WG Jacks,468,98.11,5,1
EJ Villani,468,77.23,6,1
MA Ouma,468,54.74,0,0
Javed Omar,468,48.4,0,0
Karan KC,457,83.24,81,4
AR Nurse,454,97.84,44,1
GS Ballance,454,70.17,0,0
JE Cameron,452,75.21,0,1
JL Denly,446,69.15,1,0
Pratika Rawal,444,89.52,2,2
Ghulam Shabber,444,62.01,0,0
JM Davison,443,112.72,19,3
S Lamichhane,440,88.0,120,4
A Johnson,438,95.22,0,0
H Hiri,435,54.79,3,0
Murshida Khatun,429,55.0,0,1
A Ndiraya,428,68.59,1,1
CG Williams,427,77.64,5,1
MN van Wyk,425,67.35,0,0
S Prasanna,421,91.52,33,0
SMA Priyanjan,420,78.8,7,0
PW Borren,413,89.2,6,0
FC Wilson,412,93.42,0,0
V Krishnamurthy,410,86.32,3,0
RD Shah,407,62.91,0,0
Ayesha Zafar,407,53.27,0,0
Simi Singh,406,78.53,30,1
RMVD Gunaratne,401,69.98,0,0
Ali Naseer,396,99.25,23,0
EL Lamb,396,83.72,3,1
T Mishra,395,70.04,0,1
MAA Sanjeewani,395,56.51,0,0
AB Barath,394,62.64,0,0
MW Machan,393,79.07,4,0
Suraj Kumar,392,74.81,0,0
PA de Silva,390,80.08,14,0
CM McBride,386,70.44,4,1
MA Jones,385,66.15,0,0
CS Baugh,382,67.85,0,0
T de Zorzi,381,95.49,0,1
J Gumbie,379,65.23,0,0
XM Marshall,379,55.98,0,0
M Mupachikwa,376,55.7,0,2
Asif Ali,375,118.3,0,0
PJ Forrest,368,63.78,0,0
MS Sinclair,367,64.84,0,0
DW Steyn,365,61.66,212,6
Tanzid Hasan,364,101.11,0,0
KM Dabengwa,364,57.69,15,0
SP Narine,363,79.78,99,6
DT Johnston,361,76.32,39,1
CB Wishart,361,72.78,0,1
DG Brownlie,361,72.2,0,0
Naseem Khushi,360,107.46,0,0
MDN Hansika,357,47.73,0,0
A Bosch,355,73.8,1,2
J Nkomo,354,64.01,25,1
MDT Kamini,353,63.49,0,2
R Trumpelmann,350,79.37,56,2
SJ Myburgh,347,74.46,0,1
Rumana Ahmed,346,50.66,26,1
AA Alleyne,341,60.04,30,0
LMM Tahuhu,340,86.08,98,0
NV Knight,339,70.19,0,0
M Vijay,339,65.7,1,1
B Cooper,339,58.35,0,0
R Rampaul,338,75.11,115,2
Rashid Latif,335,82.11,0,0
SS Pathirana,332,83.21,16,0
A Flower,332,70.34,0,0
HM Rowe,332,66.27,58,1
I Kaia,332,63.85,0,0
HP Tillakaratne,332,59.07,0,0
KA Edwards,331,64.9,0,0
D Khanal,329,68.26,0,0
Adnan Mufti,328,79.42,0,1
SS Weerakkody,328,62.96,28,0
SA Engelbrecht,327,63.01,0,0
CN Ackermann,326,75.12,15,0
MH Yardy,326,66.53,20,0
SJ Baard,326,57.5,0,0
Sidra Nawaz,325,48.8,0,0
MO Odumbe,324,89.26,7,1
S Movva,324,67.22,0,0
