player_name,Total_Wickets_Taken,Total_Overs_Bowled,Wickets_Per_Over
S Bau,13,613,0.021207177814029365
Haris Sohail,13,613,0.021207177814029365
K Birkenstock,5,236,0.0211864406779661
CJ Chibhabha,30,1417,0.02117148906139732
TL Chivanga,4,189,0.021164021164021163
DEM Carter,8,380,0.021052631578947368
RK Whelan,2,95,0.021052631578947368
KM Dabengwa,15,715,0.02097902097902098
V Buruka,3,143,0.02097902097902098
J Botha,77,3673,0.020963789817587803
CL Tryon,40,1914,0.02089864158829676
RL Bhudia,1,48,0.020833333333333332
WG Jacks,5,240,0.020833333333333332
H Graham,1,48,0.020833333333333332
T Kamungozi,12,580,0.020689655172413793
SS Pathirana,16,776,0.020618556701030927
E Schiferli,8,388,0.020618556701030927
NB Mahwire,8,389,0.02056555269922879
SA Campbelle,4,195,0.020512820512820513
GH Lewis,8,390,0.020512820512820513
GJ Maxwell,78,3812,0.020461699895068207
D Langford-Smith,10,489,0.02044989775051125
LE Milliken,1,49,0.02040816326530612
D Elgar,2,98,0.02040816326530612
Marina Iqbal,1,49,0.02040816326530612
F Hand,1,49,0.02040816326530612
CJA Amini,33,1620,0.020370370370370372
Mahmudullah,83,4086,0.020313264806656878
Diana Baig,43,2121,0.020273455917020275
AR Nurse,44,2187,0.020118884316415182
RP Lefebvre,4,199,0.020100502512562814
Mukesh Kumar,5,249,0.020080321285140562
SR Tendulkar,31,1545,0.020064724919093852
MM Ali,119,5935,0.020050547598989048
K Gowtham,1,50,0.02
AC Agar,22,1107,0.01987353206865402
KP Pietersen,8,403,0.019851116625310174
NJ Astle,8,404,0.019801980198019802
H Karunaratne,2,101,0.019801980198019802
MD Gunathilaka,8,405,0.019753086419753086
AC Cummins,4,203,0.019704433497536946
RD Berrington,15,762,0.01968503937007874
C de Lange,12,611,0.019639934533551555
J Mubarak,1,51,0.0196078431372549
SA Millanta,3,153,0.0196078431372549
R Slater,1,51,0.0196078431372549
SK Raina,42,2147,0.019562179785747556
GC Tonge,6,307,0.019543973941368076
R Klein,12,615,0.01951219512195122
Mohammad Hafeez,142,7303,0.019444064083253457
HN Ya France,14,726,0.01928374655647383
Nahid Rana,2,104,0.019230769230769232
MO Odumbe,7,364,0.019230769230769232
Shahbaz Ahmed,3,156,0.019230769230769232
TLW Cooper,6,315,0.01904761904761905
CG Williams,5,264,0.01893939393939394
HASD Siriwardene,32,1695,0.01887905604719764
TM Dilshan,97,5141,0.018867924528301886
SW Bates,25,1326,0.01885369532428356
H Patel,2,107,0.018691588785046728
TS Nethula,5,268,0.018656716417910446
G Onions,4,215,0.018604651162790697
E Mbofana,5,269,0.01858736059479554
Qanita Jalil,6,323,0.018575851393188854
T Granger,2,108,0.018518518518518517
MM Penfold,10,540,0.018518518518518517
JW Wilson,1,54,0.018518518518518517
SG Borthwick,1,54,0.018518518518518517
D Bishoo,38,2056,0.01848249027237354
JL Pattinson,13,705,0.018439716312056736
Imad Wasim,44,2388,0.018425460636515914
NE Farrant,4,218,0.01834862385321101
Zahid Mahmood,4,218,0.01834862385321101
WP Masakadza,22,1200,0.018333333333333333
D Soraine,1,55,0.01818181818181818
KDU Prabodhani,27,1485,0.01818181818181818
JN Mohammed,8,442,0.01809954751131222
Bismah Maroof,12,666,0.018018018018018018
Sania Khan,2,111,0.018018018018018018
Nasum Ahmed,14,778,0.017994858611825194
RG Sharma,11,614,0.017915309446254073
MN Samuels,66,3692,0.017876489707475622
C Prathyusha,1,56,0.017857142857142856
DJG Sammy,87,4891,0.017787773461459825
SF Daley,9,507,0.01775147928994083
ID Blackwell,15,846,0.01773049645390071
CT Mutombodzi,5,282,0.01773049645390071
